 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,8,16,12,20,18,3,4
01:00 - 02:00,12,10,15,20,21,4,5
02:00 - 03:00,19,31,29,39,24,6,1
03:00 - 04:00,25,48,47,41,30,7,4
04:00 - 05:00,40,47,53,60,49,7,4
05:00 - 06:00,48,39,62,53,48,4,0
06:00 - 07:00,40,43,60,58,33,4,2
07:00 - 08:00,54,35,56,61,39,5,2
08:00 - 09:00,43,69,47,57,41,3,7
09:00 - 10:00,68,73,75,63,51,7,2
10:00 - 11:00,49,59,65,49,46,11,3
11:00 - 12:00,50,58,51,60,35,8,1
12:00 - 13:00,37,51,49,47,39,5,5
13:00 - 14:00,35,52,50,43,30,6,9
14:00 - 15:00,25,39,38,41,24,5,10
15:00 - 16:00,25,39,31,30,28,4,6
16:00 - 17:00,14,37,35,30,23,7,2
17:00 - 18:00,19,20,24,24,15,2,3
18:00 - 19:00,22,11,8,19,17,2,1
19:00 - 20:00,6,12,25,15,10,2,1
20:00 - 21:00,8,11,16,15,14,4,3
21:00 - 22:00,8,9,9,13,1,1,3
22:00 - 23:00,13,11,19,6,6,2,6
23:00 - 00:00,13,12,16,17,2,2,9
