 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.06,0.18,0.18,0.24,0.73,0.06,0.18
01:00 - 02:00,0.48,0.12,0.85,0.24,1.09,0.12,0.6
02:00 - 03:00,0.54,0.6,0.42,0.48,0.6,0.24,0.3
03:00 - 04:00,1.15,0.85,1.21,0.73,0.97,0.18,0.24
04:00 - 05:00,1.27,1.15,1.57,0.6,1.57,0.06,0.54
05:00 - 06:00,0.73,1.15,0.79,0.85,1.15,0.06,0.06
06:00 - 07:00,0.85,1.03,1.39,1.39,0.3,0.0,0.12
07:00 - 08:00,0.66,2.3,1.33,0.48,0.24,0.06,0.24
08:00 - 09:00,0.3,0.66,0.66,1.21,1.51,0.06,0.24
09:00 - 10:00,1.39,0.97,1.21,0.91,0.97,0.3,0.48
10:00 - 11:00,1.57,1.03,0.91,0.73,1.03,0.12,0.18
11:00 - 12:00,0.97,1.15,0.97,1.09,0.85,0.0,0.24
12:00 - 13:00,0.42,1.51,1.03,0.73,0.54,0.0,0.54
13:00 - 14:00,0.6,1.87,1.09,0.85,1.45,0.0,0.06
14:00 - 15:00,0.79,0.79,0.85,0.42,0.79,0.06,0.24
15:00 - 16:00,0.97,0.42,1.09,1.15,0.66,0.06,0.36
16:00 - 17:00,0.91,0.97,0.79,0.36,0.73,0.12,0.12
17:00 - 18:00,0.91,0.91,0.66,1.09,0.36,0.12,0.06
18:00 - 19:00,0.85,0.42,1.15,0.66,0.73,0.0,0.0
19:00 - 20:00,0.42,0.79,0.79,0.6,0.12,0.06,0.06
20:00 - 21:00,0.18,1.09,0.54,0.91,0.18,0.0,0.12
21:00 - 22:00,0.18,0.48,0.24,0.42,0.42,0.0,0.0
22:00 - 23:00,0.54,0.85,0.18,0.36,0.24,0.18,0.0
23:00 - 00:00,0.24,0.06,0.66,0.24,0.06,0.18,0.06
