 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,0,0,0,1,0,0
01:00 - 02:00,5,0,1,0,0,5,0
02:00 - 03:00,11,7,1,2,7,2,0
03:00 - 04:00,21,24,10,5,9,1,0
04:00 - 05:00,36,35,23,23,15,1,0
05:00 - 06:00,30,28,25,31,23,0,0
06:00 - 07:00,46,64,30,40,30,1,0
07:00 - 08:00,66,23,28,41,23,0,0
08:00 - 09:00,41,45,39,31,31,1,3
09:00 - 10:00,36,47,53,40,30,1,0
10:00 - 11:00,41,50,41,22,20,0,1
11:00 - 12:00,25,50,44,14,23,3,1
12:00 - 13:00,31,24,25,45,16,2,1
13:00 - 14:00,27,19,12,14,16,2,1
14:00 - 15:00,13,21,17,3,12,1,3
15:00 - 16:00,9,44,18,10,15,3,0
16:00 - 17:00,11,9,4,7,4,2,4
17:00 - 18:00,1,6,4,9,13,0,1
18:00 - 19:00,0,11,2,1,1,2,0
19:00 - 20:00,8,1,2,3,3,0,1
20:00 - 21:00,2,2,1,0,1,1,1
21:00 - 22:00,1,2,0,1,0,0,1
22:00 - 23:00,0,6,1,0,0,1,0
23:00 - 00:00,1,1,0,0,0,0,0
