 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.1,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.1,0.0,0.1,0.0,0.0
02:00 - 03:00,0.1,0.0,0.31,0.0,0.1,0.0,0.0
03:00 - 04:00,0.31,0.21,0.0,0.31,0.42,0.21,0.0
04:00 - 05:00,0.0,0.1,0.1,0.0,0.0,0.0,0.0
05:00 - 06:00,0.52,0.62,0.1,0.42,0.21,0.0,0.0
06:00 - 07:00,0.31,0.0,0.1,0.62,0.21,0.1,0.0
07:00 - 08:00,1.35,0.31,0.42,0.0,0.1,0.0,0.0
08:00 - 09:00,0.31,0.1,0.62,0.0,0.21,0.0,0.0
09:00 - 10:00,0.31,1.25,0.94,0.73,0.52,0.0,0.0
10:00 - 11:00,1.25,1.25,0.94,1.56,0.62,0.0,0.1
11:00 - 12:00,1.46,1.56,2.39,2.81,2.91,0.0,0.0
12:00 - 13:00,2.19,2.81,1.56,2.39,0.94,0.1,0.0
13:00 - 14:00,2.91,2.08,0.73,2.19,1.14,0.0,0.0
14:00 - 15:00,1.77,1.35,2.08,2.5,1.04,0.31,0.0
15:00 - 16:00,2.19,1.87,1.98,1.87,1.87,0.0,2.19
16:00 - 17:00,1.35,2.08,2.71,1.56,1.77,0.0,0.0
17:00 - 18:00,1.77,2.39,1.35,1.77,1.87,0.21,0.0
18:00 - 19:00,0.94,0.73,1.04,1.14,1.77,0.0,0.0
19:00 - 20:00,0.21,0.42,0.31,0.62,0.42,0.0,0.21
20:00 - 21:00,0.21,0.1,0.1,0.21,0.0,0.1,0.0
21:00 - 22:00,0.42,0.31,0.21,0.1,0.1,0.0,0.0
22:00 - 23:00,0.21,0.1,0.1,0.1,0.1,0.0,0.0
23:00 - 00:00,0.1,0.1,0.1,0.62,0.0,0.1,0.0
