 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,0,0,0,1,0,3
01:00 - 02:00,0,2,0,2,0,0,0
02:00 - 03:00,1,1,8,2,1,0,0
03:00 - 04:00,6,11,12,3,12,0,1
04:00 - 05:00,15,17,15,15,36,0,9
05:00 - 06:00,25,26,17,21,55,0,22
06:00 - 07:00,27,29,30,25,27,1,3
07:00 - 08:00,26,35,34,35,59,3,6
08:00 - 09:00,30,29,25,25,26,3,1
09:00 - 10:00,42,56,36,28,23,15,1
10:00 - 11:00,65,44,41,15,49,3,13
11:00 - 12:00,34,30,14,31,35,3,1
12:00 - 13:00,14,18,7,16,19,0,11
13:00 - 14:00,19,11,8,8,6,1,3
14:00 - 15:00,23,1,4,4,3,1,3
15:00 - 16:00,6,1,3,17,20,19,1
16:00 - 17:00,3,0,11,0,0,0,2
17:00 - 18:00,10,7,0,1,2,2,2
18:00 - 19:00,2,7,7,0,1,1,1
19:00 - 20:00,0,0,10,0,4,0,29
20:00 - 21:00,0,0,0,0,0,0,37
21:00 - 22:00,2,0,1,0,0,0,1
22:00 - 23:00,0,0,1,0,0,0,7
23:00 - 00:00,1,2,5,0,0,4,0
