 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.31,0.41,0.24,0.34,0.28,0.24,0.21
01:00 - 02:00,0.21,0.28,0.38,0.41,0.24,0.0,0.1
02:00 - 03:00,0.52,0.41,0.59,0.93,0.21,0.1,0.1
03:00 - 04:00,0.65,0.62,0.69,0.72,0.65,0.1,0.1
04:00 - 05:00,0.41,0.55,0.76,0.76,0.55,0.17,0.17
05:00 - 06:00,0.24,0.9,0.62,0.55,0.93,0.24,0.17
06:00 - 07:00,0.69,0.79,0.62,1.14,0.62,0.17,0.14
07:00 - 08:00,1.1,1.0,0.79,0.79,0.52,0.21,0.21
08:00 - 09:00,0.97,1.0,1.03,0.9,1.14,0.21,0.07
09:00 - 10:00,1.24,0.97,0.86,0.79,1.07,0.21,0.17
10:00 - 11:00,1.03,1.28,1.41,1.65,1.17,0.17,0.38
11:00 - 12:00,1.65,1.28,1.21,1.17,0.72,0.21,0.45
12:00 - 13:00,1.17,1.14,1.1,1.07,0.93,0.38,0.21
13:00 - 14:00,0.69,0.69,1.07,1.14,0.79,0.28,0.21
14:00 - 15:00,0.79,0.65,1.17,1.0,0.69,0.28,0.48
15:00 - 16:00,0.79,0.79,0.9,0.9,0.59,0.28,0.31
16:00 - 17:00,0.59,1.0,0.72,0.72,0.48,0.17,0.1
17:00 - 18:00,0.59,0.72,0.52,0.97,0.62,0.28,0.38
18:00 - 19:00,0.97,0.76,0.62,0.52,0.48,0.21,0.45
19:00 - 20:00,0.72,0.93,0.48,0.62,0.38,0.1,0.55
20:00 - 21:00,0.65,0.62,0.65,0.69,0.55,0.24,0.48
21:00 - 22:00,0.76,0.45,0.65,0.41,0.24,0.34,0.55
22:00 - 23:00,0.52,0.65,0.83,0.65,0.41,0.45,0.41
23:00 - 00:00,0.69,0.24,0.41,0.28,0.34,0.17,0.21
