 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.1,0.71,0.3,0.5,0.5,0.0,0.0
01:00 - 02:00,0.2,0.3,0.5,0.3,1.31,0.0,0.0
02:00 - 03:00,0.71,0.4,0.91,0.71,0.91,0.1,0.0
03:00 - 04:00,0.4,0.2,0.4,0.6,0.3,0.5,0.1
04:00 - 05:00,1.92,0.91,1.51,0.3,0.71,0.1,0.0
05:00 - 06:00,2.72,1.21,0.81,1.31,1.92,0.0,0.0
06:00 - 07:00,1.81,1.61,1.51,0.4,2.02,0.6,0.0
07:00 - 08:00,1.71,0.6,0.81,0.71,1.61,0.0,0.1
08:00 - 09:00,0.91,1.01,0.71,1.11,1.01,0.1,0.0
09:00 - 10:00,1.51,1.31,1.21,1.11,1.11,0.0,0.0
10:00 - 11:00,1.71,0.5,1.11,0.81,1.11,0.0,0.1
11:00 - 12:00,1.01,0.91,1.01,1.41,1.21,0.0,0.6
12:00 - 13:00,2.42,0.6,0.91,1.92,1.71,0.0,0.1
13:00 - 14:00,0.91,1.01,0.71,0.81,1.31,0.0,0.0
14:00 - 15:00,2.02,0.81,0.6,1.11,1.01,0.0,0.1
15:00 - 16:00,0.5,0.4,1.71,0.6,0.71,0.1,0.0
16:00 - 17:00,0.71,0.6,1.21,0.81,1.01,0.0,0.1
17:00 - 18:00,0.6,0.6,1.11,0.1,1.21,0.0,0.0
18:00 - 19:00,0.1,0.6,0.0,0.4,0.71,0.1,0.0
19:00 - 20:00,0.6,0.6,0.2,0.5,0.5,0.0,0.0
20:00 - 21:00,0.1,0.3,0.2,0.2,0.4,0.3,0.2
21:00 - 22:00,0.0,0.4,0.0,0.1,0.0,0.1,0.0
22:00 - 23:00,0.0,0.4,0.1,0.3,0.5,0.0,0.0
23:00 - 00:00,0.5,0.1,0.3,0.4,0.0,0.0,0.1
