 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,0,0,0,0,0,0
01:00 - 02:00,1,2,1,0,1,0,0
02:00 - 03:00,16,6,12,11,7,0,0
03:00 - 04:00,18,20,18,19,28,3,1
04:00 - 05:00,17,24,25,22,20,4,6
05:00 - 06:00,27,30,28,21,24,1,1
06:00 - 07:00,19,25,27,31,65,2,3
07:00 - 08:00,30,49,25,28,27,3,0
08:00 - 09:00,42,45,32,42,34,3,5
09:00 - 10:00,29,94,32,42,48,1,1
10:00 - 11:00,37,38,46,31,38,4,3
11:00 - 12:00,27,38,42,44,34,3,3
12:00 - 13:00,16,17,15,17,14,3,4
13:00 - 14:00,12,14,14,16,10,3,1
14:00 - 15:00,23,21,14,13,8,0,0
15:00 - 16:00,5,10,14,6,7,0,0
16:00 - 17:00,6,6,6,18,4,0,0
17:00 - 18:00,4,5,0,5,2,0,0
18:00 - 19:00,5,2,3,3,2,0,2
19:00 - 20:00,0,0,0,1,0,0,0
20:00 - 21:00,3,0,0,0,0,0,0
21:00 - 22:00,0,0,0,0,1,0,0
22:00 - 23:00,0,0,0,0,2,0,0
23:00 - 00:00,0,0,0,1,0,0,0
