 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,5,4,6,4,2,1
01:00 - 02:00,4,12,7,9,8,4,1
02:00 - 03:00,10,8,9,11,13,3,3
03:00 - 04:00,25,18,29,22,29,3,4
04:00 - 05:00,15,22,19,32,30,7,9
05:00 - 06:00,28,35,48,31,35,5,0
06:00 - 07:00,30,46,29,35,21,3,5
07:00 - 08:00,26,26,27,22,28,3,2
08:00 - 09:00,39,35,34,35,22,6,1
09:00 - 10:00,37,45,51,43,35,4,4
10:00 - 11:00,29,39,41,41,35,5,4
11:00 - 12:00,27,37,33,44,36,3,2
12:00 - 13:00,26,26,28,26,15,5,0
13:00 - 14:00,15,17,20,18,18,12,10
14:00 - 15:00,21,17,27,14,22,2,7
15:00 - 16:00,19,33,13,29,30,9,4
16:00 - 17:00,29,23,32,19,20,13,3
17:00 - 18:00,23,25,28,13,16,14,4
18:00 - 19:00,17,29,21,19,13,9,4
19:00 - 20:00,18,16,10,9,16,3,2
20:00 - 21:00,17,11,14,12,11,3,2
21:00 - 22:00,12,15,9,15,5,4,3
22:00 - 23:00,20,12,10,14,8,3,6
23:00 - 00:00,6,11,11,9,4,4,3
