 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.17,0.0,0.0
02:00 - 03:00,0.5,0.34,0.34,0.17,0.17,0.0,0.0
03:00 - 04:00,1.01,0.5,0.67,1.51,1.68,0.0,0.0
04:00 - 05:00,1.51,1.51,1.68,1.34,2.51,0.0,0.0
05:00 - 06:00,2.01,1.17,0.5,2.18,0.5,0.0,0.0
06:00 - 07:00,1.68,2.35,1.68,2.51,1.01,0.17,0.0
07:00 - 08:00,2.51,1.01,1.17,2.01,3.02,0.0,0.0
08:00 - 09:00,4.36,2.85,2.85,1.84,3.02,0.0,0.0
09:00 - 10:00,1.84,2.51,2.35,2.18,3.02,0.0,0.0
10:00 - 11:00,1.01,3.18,1.84,2.85,0.84,0.0,0.0
11:00 - 12:00,2.35,2.01,1.84,1.17,1.17,0.0,0.0
12:00 - 13:00,1.68,0.67,0.5,2.51,0.5,0.0,0.0
13:00 - 14:00,0.17,0.17,0.34,0.34,0.0,0.0,0.0
14:00 - 15:00,0.34,0.67,0.34,0.0,0.17,0.0,0.0
15:00 - 16:00,0.34,0.67,0.34,0.17,0.0,0.0,0.0
16:00 - 17:00,0.0,0.17,0.5,0.34,0.17,0.0,0.0
17:00 - 18:00,0.17,0.0,1.01,0.17,0.0,0.0,0.0
18:00 - 19:00,0.0,0.17,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.17,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.17,0.0,0.0,0.34
22:00 - 23:00,0.34,0.0,0.17,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.17,0.0,0.0,0.0,0.0
