 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,4,2,3,0,0,0
01:00 - 02:00,1,0,2,1,4,0,1
02:00 - 03:00,0,1,4,1,5,0,0
03:00 - 04:00,0,1,1,0,0,1,0
04:00 - 05:00,0,1,0,0,1,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,0,0,0
07:00 - 08:00,0,0,0,0,0,0,0
08:00 - 09:00,0,0,0,0,0,0,0
09:00 - 10:00,1,0,0,0,0,0,0
10:00 - 11:00,1,0,0,0,2,0,0
11:00 - 12:00,0,0,0,3,0,0,0
12:00 - 13:00,1,0,2,4,2,1,0
13:00 - 14:00,11,7,6,2,3,0,0
14:00 - 15:00,16,9,10,10,9,0,0
15:00 - 16:00,10,4,15,9,5,0,0
16:00 - 17:00,19,10,9,3,8,0,0
17:00 - 18:00,9,13,6,3,3,1,0
18:00 - 19:00,23,9,18,14,20,0,2
19:00 - 20:00,13,14,44,20,34,1,0
20:00 - 21:00,14,10,31,16,10,3,1
21:00 - 22:00,4,16,13,9,18,0,0
22:00 - 23:00,13,7,6,2,10,0,0
23:00 - 00:00,6,12,5,2,1,0,0
