 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,1,1,0,1,0
01:00 - 02:00,0,0,0,2,0,0,0
02:00 - 03:00,0,0,0,0,0,0,2
03:00 - 04:00,0,0,0,0,1,0,0
04:00 - 05:00,0,0,1,5,0,0,0
05:00 - 06:00,13,15,27,25,34,0,0
06:00 - 07:00,10,37,31,18,10,1,1
07:00 - 08:00,36,146,67,64,93,2,0
08:00 - 09:00,103,128,105,107,122,1,0
09:00 - 10:00,149,534,120,141,175,0,1
10:00 - 11:00,171,187,130,129,154,0,4
11:00 - 12:00,152,111,136,175,131,0,7
12:00 - 13:00,129,109,152,131,89,0,0
13:00 - 14:00,121,130,151,133,82,1,7
14:00 - 15:00,75,72,81,94,72,1,2
15:00 - 16:00,37,51,37,49,35,0,0
16:00 - 17:00,19,27,16,17,14,1,0
17:00 - 18:00,19,10,10,11,8,0,2
18:00 - 19:00,5,4,10,6,5,1,0
19:00 - 20:00,0,1,6,5,2,0,0
20:00 - 21:00,1,7,5,2,0,1,0
21:00 - 22:00,4,2,3,0,0,0,1
22:00 - 23:00,0,0,3,6,0,0,0
23:00 - 00:00,0,0,0,3,2,0,0
