 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,0,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,1,0,0,0
07:00 - 08:00,0,3,0,9,4,0,0
08:00 - 09:00,4,7,11,3,6,0,0
09:00 - 10:00,15,32,27,34,25,0,0
10:00 - 11:00,22,32,21,4,23,0,0
11:00 - 12:00,23,24,21,17,17,0,0
12:00 - 13:00,25,21,22,10,15,0,0
13:00 - 14:00,10,15,17,12,18,0,0
14:00 - 15:00,20,19,11,31,33,0,0
15:00 - 16:00,22,20,23,7,27,0,0
16:00 - 17:00,8,9,23,16,10,0,0
17:00 - 18:00,10,16,2,13,13,0,0
18:00 - 19:00,1,3,1,0,2,0,0
19:00 - 20:00,0,1,0,0,0,0,0
20:00 - 21:00,0,0,0,0,0,0,0
21:00 - 22:00,0,0,0,0,0,0,0
22:00 - 23:00,0,0,0,0,0,0,0
23:00 - 00:00,0,0,0,0,0,0,0
