 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.13,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.63,0.13,0.0,0.13,0.13,0.0,0.0
09:00 - 10:00,0.76,0.88,0.51,0.38,0.76,0.13,0.13
10:00 - 11:00,0.76,1.39,7.45,2.9,2.4,0.0,0.0
11:00 - 12:00,2.4,2.27,2.02,2.27,3.16,0.0,0.0
12:00 - 13:00,2.78,2.27,3.54,2.27,1.52,0.0,0.51
13:00 - 14:00,1.52,1.64,2.15,0.76,1.01,0.13,0.0
14:00 - 15:00,3.03,3.28,3.28,1.39,1.52,0.0,0.13
15:00 - 16:00,1.64,3.28,3.28,1.26,1.77,0.0,0.0
16:00 - 17:00,1.89,4.55,3.41,1.89,2.53,0.0,0.13
17:00 - 18:00,0.25,1.77,0.38,0.51,1.39,0.0,0.13
18:00 - 19:00,0.38,0.13,0.0,0.13,0.0,0.0,0.0
19:00 - 20:00,0.0,0.51,0.0,0.0,0.13,0.0,0.13
20:00 - 21:00,0.38,0.0,0.0,0.88,0.0,0.13,0.0
21:00 - 22:00,0.63,0.13,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,1.01,0.25,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.51,0.0,0.0,0.13,0.13,0.0,0.0
