 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,0,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,0,0,0
07:00 - 08:00,0,0,0,2,0,0,0
08:00 - 09:00,1,4,4,10,0,0,0
09:00 - 10:00,9,14,3,20,0,0,0
10:00 - 11:00,9,16,9,33,1,0,0
11:00 - 12:00,2,10,6,14,2,0,0
12:00 - 13:00,33,9,0,27,3,0,0
13:00 - 14:00,10,4,19,46,12,0,0
14:00 - 15:00,5,6,29,17,13,0,0
15:00 - 16:00,7,9,4,12,2,0,1
16:00 - 17:00,3,2,11,14,1,0,0
17:00 - 18:00,0,1,2,0,0,0,0
18:00 - 19:00,1,0,0,1,0,0,0
19:00 - 20:00,0,0,4,0,0,0,0
20:00 - 21:00,0,0,1,0,0,0,0
21:00 - 22:00,0,0,0,0,0,0,0
22:00 - 23:00,0,0,0,0,0,0,0
23:00 - 00:00,0,0,0,0,0,0,0
