 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.42,0.0,0.0,0.0
08:00 - 09:00,0.21,0.84,0.84,2.09,0.0,0.0,0.0
09:00 - 10:00,1.88,2.93,0.63,4.18,0.0,0.0,0.0
10:00 - 11:00,1.88,3.35,1.88,6.9,0.21,0.0,0.0
11:00 - 12:00,0.42,2.09,1.26,2.93,0.42,0.0,0.0
12:00 - 13:00,6.9,1.88,0.0,5.65,0.63,0.0,0.0
13:00 - 14:00,2.09,0.84,3.97,9.62,2.51,0.0,0.0
14:00 - 15:00,1.05,1.26,6.07,3.56,2.72,0.0,0.0
15:00 - 16:00,1.46,1.88,0.84,2.51,0.42,0.0,0.21
16:00 - 17:00,0.63,0.42,2.3,2.93,0.21,0.0,0.0
17:00 - 18:00,0.0,0.21,0.42,0.0,0.0,0.0,0.0
18:00 - 19:00,0.21,0.0,0.0,0.21,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.84,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.21,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
