 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.35,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.58,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.12,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.35,0.0,0.0,0.0
07:00 - 08:00,0.12,0.0,0.23,0.35,0.0,0.35,0.0
08:00 - 09:00,1.05,0.35,0.82,0.12,3.5,0.35,0.35
09:00 - 10:00,1.05,0.7,1.52,0.93,2.92,0.35,0.58
10:00 - 11:00,2.22,1.52,1.17,4.56,3.97,0.23,0.82
11:00 - 12:00,5.14,0.35,1.87,5.96,4.67,0.35,0.58
12:00 - 13:00,3.5,0.35,1.64,2.8,6.43,0.23,0.58
13:00 - 14:00,2.92,0.93,0.82,3.5,2.92,0.47,0.0
14:00 - 15:00,1.52,1.05,0.93,1.17,1.75,0.35,0.0
15:00 - 16:00,0.47,1.52,0.47,2.92,1.05,0.0,0.12
16:00 - 17:00,0.35,0.82,0.7,2.1,1.52,0.0,0.0
17:00 - 18:00,0.0,0.0,0.0,0.0,1.17,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,1.29,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.23,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.23
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.35,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.35
