 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.09,0.18,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.09,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.82,0.45,0.18,0.55,0.82,0.0,0.0
08:00 - 09:00,0.82,0.91,1.45,1.64,1.0,0.0,0.0
09:00 - 10:00,1.36,2.55,3.0,1.91,3.64,0.0,0.0
10:00 - 11:00,2.73,2.18,1.55,1.27,0.73,0.0,0.0
11:00 - 12:00,5.27,2.55,2.45,2.0,3.09,0.0,0.0
12:00 - 13:00,3.0,5.09,2.09,1.73,2.0,0.0,0.0
13:00 - 14:00,1.82,3.0,2.73,1.82,1.64,0.0,0.0
14:00 - 15:00,3.18,2.27,2.27,1.36,1.82,0.0,0.0
15:00 - 16:00,1.55,3.0,1.09,1.36,2.73,0.0,0.0
16:00 - 17:00,1.64,0.55,0.91,1.82,1.45,0.0,0.0
17:00 - 18:00,0.0,0.36,1.27,0.18,0.27,0.0,0.0
18:00 - 19:00,0.09,0.0,0.0,0.0,0.0,0.36,0.0
19:00 - 20:00,0.0,0.0,0.09,0.0,0.09,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.09,0.0,0.0,0.0
