 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,4,4,10,5,0,0
01:00 - 02:00,2,2,4,0,10,0,0
02:00 - 03:00,0,3,3,0,0,0,0
03:00 - 04:00,0,3,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,0,0,0
07:00 - 08:00,0,0,0,0,0,0,0
08:00 - 09:00,3,1,0,1,2,0,0
09:00 - 10:00,2,4,0,0,0,0,0
10:00 - 11:00,2,5,1,1,2,0,0
11:00 - 12:00,2,14,4,4,7,0,0
12:00 - 13:00,0,8,4,2,4,0,0
13:00 - 14:00,1,4,10,4,12,1,0
14:00 - 15:00,4,1,2,11,14,0,0
15:00 - 16:00,3,0,1,10,6,3,2
16:00 - 17:00,2,0,5,2,0,6,1
17:00 - 18:00,0,0,2,1,0,5,1
18:00 - 19:00,0,0,0,0,0,0,1
19:00 - 20:00,0,1,0,1,0,1,0
20:00 - 21:00,0,1,1,0,0,0,3
21:00 - 22:00,3,13,13,3,0,0,1
22:00 - 23:00,5,8,5,11,4,0,1
23:00 - 00:00,3,6,7,12,2,0,0
