 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,1,0,0
01:00 - 02:00,0,2,0,0,0,0,0
02:00 - 03:00,0,0,1,0,0,0,0
03:00 - 04:00,0,1,0,0,0,0,0
04:00 - 05:00,0,1,2,0,0,0,0
05:00 - 06:00,0,0,0,1,0,0,0
06:00 - 07:00,0,0,0,5,0,0,0
07:00 - 08:00,5,7,8,6,1,2,0
08:00 - 09:00,6,20,12,17,16,0,0
09:00 - 10:00,22,13,20,12,18,1,1
10:00 - 11:00,26,38,60,25,28,6,1
11:00 - 12:00,45,26,30,22,51,5,2
12:00 - 13:00,20,2,11,4,13,0,6
13:00 - 14:00,23,12,20,27,76,0,6
14:00 - 15:00,19,7,19,6,40,1,7
15:00 - 16:00,4,13,6,7,4,4,4
16:00 - 17:00,2,10,7,20,9,5,0
17:00 - 18:00,8,5,6,23,4,0,6
18:00 - 19:00,18,15,14,6,0,5,16
19:00 - 20:00,8,17,5,17,1,7,0
20:00 - 21:00,4,31,3,9,5,4,1
21:00 - 22:00,0,43,10,8,0,4,10
22:00 - 23:00,2,11,3,6,0,3,1
23:00 - 00:00,0,0,2,5,0,1,0
