 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.18,0.18,0.0,0.0,0.06
01:00 - 02:00,0.0,0.0,0.12,0.0,0.0,0.0,0.06
02:00 - 03:00,0.18,0.0,0.12,0.12,0.06,1.16,0.0
03:00 - 04:00,0.0,0.0,0.0,0.06,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.06,0.0,0.0,0.0
05:00 - 06:00,0.06,0.0,0.18,0.0,0.0,0.0,0.0
06:00 - 07:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.06,0.0,0.06,0.12,0.0,0.0,0.0
08:00 - 09:00,0.24,0.43,0.37,0.18,0.18,0.0,0.0
09:00 - 10:00,0.37,0.67,0.49,0.55,0.43,0.0,0.0
10:00 - 11:00,0.49,1.28,0.49,0.43,0.3,0.0,0.0
11:00 - 12:00,0.37,0.3,0.55,0.73,0.55,0.0,0.0
12:00 - 13:00,0.67,0.85,1.1,0.73,1.16,0.0,0.0
13:00 - 14:00,1.89,2.01,1.95,1.52,0.55,0.0,0.06
14:00 - 15:00,2.32,2.01,5.85,2.62,1.46,0.0,0.06
15:00 - 16:00,2.68,2.86,4.81,1.95,2.56,0.0,0.0
16:00 - 17:00,1.58,3.66,1.58,1.65,1.16,0.0,0.0
17:00 - 18:00,0.91,2.32,1.58,1.95,1.58,0.0,0.0
18:00 - 19:00,1.04,3.96,2.19,0.85,0.73,0.0,0.0
19:00 - 20:00,0.79,1.4,2.44,1.4,0.67,0.0,0.0
20:00 - 21:00,0.91,1.71,1.28,2.07,0.73,0.0,0.06
21:00 - 22:00,0.18,1.04,0.55,1.04,0.49,0.0,0.0
22:00 - 23:00,0.18,0.37,0.49,0.49,0.12,0.0,0.0
23:00 - 00:00,0.3,0.3,0.18,0.0,0.06,0.0,0.0
