 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.13,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.38,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.13,0.0
03:00 - 04:00,0.0,0.38,0.0,0.38,0.0,0.0,0.13
04:00 - 05:00,0.13,0.63,0.0,0.76,0.25,0.0,0.0
05:00 - 06:00,0.38,0.76,1.26,0.51,0.51,0.0,0.0
06:00 - 07:00,1.26,2.02,0.88,0.25,1.01,0.0,0.0
07:00 - 08:00,3.03,2.15,0.63,2.65,1.52,0.0,0.0
08:00 - 09:00,4.3,3.29,0.63,1.64,1.39,0.0,0.0
09:00 - 10:00,2.65,1.64,1.14,2.91,1.39,0.0,0.0
10:00 - 11:00,2.28,1.64,0.63,1.52,1.26,0.13,0.0
11:00 - 12:00,1.14,2.4,2.91,1.26,0.13,0.0,0.0
12:00 - 13:00,2.65,1.14,2.91,1.26,0.13,0.0,0.0
13:00 - 14:00,2.4,1.52,1.39,0.88,1.39,0.0,0.0
14:00 - 15:00,2.53,1.26,1.39,0.76,3.03,0.0,0.0
15:00 - 16:00,0.51,1.39,1.52,0.51,0.88,0.0,0.0
16:00 - 17:00,0.63,0.38,0.25,3.41,0.25,0.0,0.0
17:00 - 18:00,0.38,0.25,0.25,0.63,0.38,0.0,0.0
18:00 - 19:00,0.0,0.13,0.0,0.13,0.38,0.0,0.0
19:00 - 20:00,0.25,0.13,0.13,0.0,0.25,0.0,0.0
20:00 - 21:00,0.13,0.0,0.0,0.0,0.13,0.0,0.0
21:00 - 22:00,0.0,0.13,0.0,0.0,0.13,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.13,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.51,2.28,0.51,0.0,0.0
