 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.09,0.23,0.31,0.06,0.11,0.17,0.03
01:00 - 02:00,0.09,0.11,0.23,0.26,0.14,0.11,0.0
02:00 - 03:00,0.11,0.2,0.17,0.2,0.2,0.06,0.0
03:00 - 04:00,0.06,0.06,0.17,0.17,0.0,0.06,0.0
04:00 - 05:00,0.11,0.11,0.09,0.14,0.11,0.0,0.0
05:00 - 06:00,0.2,0.26,0.14,0.2,0.09,0.0,0.06
06:00 - 07:00,0.23,0.37,0.26,0.11,0.29,0.0,0.03
07:00 - 08:00,0.26,0.46,0.37,0.31,0.26,0.0,0.0
08:00 - 09:00,0.6,0.97,0.68,0.66,0.6,0.03,0.0
09:00 - 10:00,1.14,0.88,1.11,1.03,0.97,0.03,0.0
10:00 - 11:00,0.88,1.37,1.25,0.86,0.71,0.0,0.06
11:00 - 12:00,0.91,0.86,0.94,0.97,0.68,0.0,0.14
12:00 - 13:00,0.57,0.88,1.94,1.88,0.54,0.03,0.03
13:00 - 14:00,2.17,1.65,1.88,1.68,1.25,0.0,0.37
14:00 - 15:00,2.28,2.51,2.48,1.62,1.48,0.03,0.09
15:00 - 16:00,2.62,1.77,2.31,2.34,1.8,0.0,0.09
16:00 - 17:00,1.43,1.74,2.34,1.43,1.4,0.09,0.06
17:00 - 18:00,1.54,1.54,1.05,1.08,0.94,0.14,0.03
18:00 - 19:00,1.34,1.43,1.51,1.03,1.43,0.03,0.06
19:00 - 20:00,0.66,1.25,1.28,1.37,0.97,0.17,0.0
20:00 - 21:00,0.66,0.88,1.08,1.23,0.48,0.0,0.09
21:00 - 22:00,0.48,0.66,0.57,1.0,0.46,0.06,0.11
22:00 - 23:00,0.54,0.31,0.31,0.34,0.06,0.09,0.06
23:00 - 00:00,0.11,0.2,0.11,0.23,0.11,0.0,0.0
