 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.06,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.06,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.06,0.06,0.17,0.06,0.06,0.0,0.0
05:00 - 06:00,0.06,0.06,0.0,0.06,0.0,0.0,0.0
06:00 - 07:00,0.51,0.17,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.06,0.0,0.06,0.06,0.0,0.0,0.0
08:00 - 09:00,0.0,0.34,0.28,0.28,0.4,0.06,0.0
09:00 - 10:00,0.68,0.57,0.96,0.85,0.4,0.06,0.0
10:00 - 11:00,2.15,1.36,1.81,2.27,0.68,0.0,0.0
11:00 - 12:00,4.88,2.21,2.38,1.93,1.08,0.0,0.0
12:00 - 13:00,2.21,2.44,2.72,2.78,1.7,0.0,0.0
13:00 - 14:00,0.51,1.13,0.74,1.13,0.79,0.06,0.0
14:00 - 15:00,3.06,2.61,2.1,1.42,1.25,0.0,0.0
15:00 - 16:00,1.7,3.06,4.48,2.15,2.1,0.0,0.0
16:00 - 17:00,2.55,3.51,3.0,2.95,1.81,0.0,0.0
17:00 - 18:00,1.42,1.13,1.7,0.74,0.4,0.0,0.06
18:00 - 19:00,0.34,0.45,0.28,0.57,0.51,0.0,0.0
19:00 - 20:00,0.17,1.02,0.68,0.51,0.96,0.0,0.0
20:00 - 21:00,0.17,0.96,1.7,0.11,0.79,0.0,0.0
21:00 - 22:00,0.11,0.68,0.45,0.06,1.13,0.0,0.06
22:00 - 23:00,0.23,0.0,0.45,0.11,0.79,0.0,0.0
23:00 - 00:00,0.0,0.11,0.0,0.0,0.0,0.0,0.0
