 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.04,0.09,0.17,0.26,0.51,0.09,0.04
01:00 - 02:00,0.04,0.43,0.43,0.17,0.13,0.04,0.0
02:00 - 03:00,0.0,0.21,0.13,0.17,0.04,0.0,0.0
03:00 - 04:00,0.13,0.64,1.07,0.3,0.47,0.04,0.0
04:00 - 05:00,0.6,0.56,1.24,0.21,0.09,0.13,0.09
05:00 - 06:00,0.34,1.03,0.34,0.43,0.13,0.21,0.0
06:00 - 07:00,0.51,0.3,0.6,1.2,0.09,0.0,0.04
07:00 - 08:00,0.73,1.11,0.73,0.73,0.21,0.0,0.39
08:00 - 09:00,1.2,1.11,1.03,0.99,0.09,0.04,0.17
09:00 - 10:00,1.29,0.81,1.46,2.31,0.3,0.04,0.43
10:00 - 11:00,1.03,0.81,1.33,1.07,0.17,0.0,0.3
11:00 - 12:00,0.81,1.16,1.03,1.54,0.51,0.04,0.34
12:00 - 13:00,1.29,0.81,0.81,1.5,0.26,0.04,0.47
13:00 - 14:00,1.03,0.9,2.1,0.86,0.39,0.0,0.99
14:00 - 15:00,1.24,1.03,2.06,1.59,0.56,0.04,1.16
15:00 - 16:00,2.44,2.01,1.76,1.59,0.39,0.0,0.09
16:00 - 17:00,1.33,1.37,1.76,1.5,0.99,0.0,0.09
17:00 - 18:00,1.5,1.59,1.67,2.14,0.56,0.0,0.13
18:00 - 19:00,1.2,1.41,0.6,0.77,0.86,0.0,0.0
19:00 - 20:00,1.37,1.37,0.43,0.69,0.6,0.0,0.17
20:00 - 21:00,0.56,0.6,1.93,0.81,0.3,0.04,0.0
21:00 - 22:00,0.47,0.17,0.34,0.3,0.26,0.0,0.09
22:00 - 23:00,0.94,0.13,0.09,0.56,0.34,0.09,0.0
23:00 - 00:00,0.26,0.13,0.47,0.47,0.04,0.0,0.0
