 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.1,0.2,0.25,0.2,0.2,0.1,0.0
01:00 - 02:00,0.05,0.05,0.2,0.25,0.31,0.0,0.0
02:00 - 03:00,0.15,0.1,0.36,0.1,0.05,0.0,0.0
03:00 - 04:00,0.0,0.0,0.05,0.2,0.25,0.0,0.0
04:00 - 05:00,0.0,0.15,0.36,0.31,0.1,0.1,0.05
05:00 - 06:00,0.97,0.61,0.25,0.92,0.1,0.0,0.0
06:00 - 07:00,0.97,0.66,1.22,1.22,0.92,0.0,0.0
07:00 - 08:00,0.51,1.07,1.22,1.17,1.07,0.0,0.0
08:00 - 09:00,0.92,0.36,0.97,0.56,0.36,0.0,0.05
09:00 - 10:00,1.02,1.17,1.53,1.12,0.76,0.0,0.0
10:00 - 11:00,1.53,1.17,1.99,1.43,1.22,0.05,0.05
11:00 - 12:00,0.71,1.07,0.87,0.87,0.51,0.0,0.1
12:00 - 13:00,0.61,0.92,0.92,0.82,0.41,0.05,0.05
13:00 - 14:00,1.02,1.07,1.73,2.55,0.76,0.0,0.05
14:00 - 15:00,1.22,1.17,1.63,1.83,1.27,0.0,0.0
15:00 - 16:00,1.22,1.32,0.76,1.12,1.17,0.0,0.1
16:00 - 17:00,1.02,1.63,1.27,1.17,0.76,0.0,0.15
17:00 - 18:00,0.71,0.66,1.58,0.97,0.61,0.0,0.15
18:00 - 19:00,1.02,1.38,1.12,0.82,0.97,0.05,0.05
19:00 - 20:00,0.92,1.58,1.38,2.04,1.32,0.1,0.0
20:00 - 21:00,1.48,1.27,1.43,0.97,0.56,0.05,0.05
21:00 - 22:00,1.17,1.02,0.87,0.82,0.71,0.0,0.15
22:00 - 23:00,1.02,0.71,0.41,0.41,0.51,0.0,0.0
23:00 - 00:00,1.02,0.2,0.05,0.2,0.15,0.0,0.0
