 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.2,0.13,0.13,0.0,0.13,0.2,0.0
01:00 - 02:00,0.0,0.07,0.07,0.2,0.4,0.0,0.0
02:00 - 03:00,0.13,0.0,0.27,0.2,0.34,0.0,0.13
03:00 - 04:00,0.13,0.07,0.07,0.13,0.27,0.27,0.0
04:00 - 05:00,0.07,0.07,0.07,0.2,0.4,0.07,0.0
05:00 - 06:00,0.13,0.27,0.13,0.07,0.67,0.0,0.0
06:00 - 07:00,0.4,0.54,1.15,0.2,0.47,0.0,0.0
07:00 - 08:00,0.13,0.61,0.4,0.2,0.34,0.0,0.27
08:00 - 09:00,0.34,0.27,1.01,0.67,0.47,0.0,0.13
09:00 - 10:00,1.01,1.15,0.81,1.01,0.81,0.07,0.07
10:00 - 11:00,0.81,1.21,1.28,1.28,1.48,0.07,0.13
11:00 - 12:00,0.47,0.88,1.21,1.08,1.28,0.0,0.13
12:00 - 13:00,0.54,1.82,1.42,0.88,1.55,0.0,0.0
13:00 - 14:00,1.55,1.35,2.29,0.94,1.35,0.2,0.07
14:00 - 15:00,1.55,1.28,1.75,2.36,1.96,0.13,0.13
15:00 - 16:00,1.21,2.09,2.29,1.55,1.01,0.0,0.07
16:00 - 17:00,0.94,1.35,2.02,2.09,1.21,0.0,0.13
17:00 - 18:00,1.35,1.28,1.55,0.81,1.28,0.0,0.13
18:00 - 19:00,2.02,1.35,1.69,1.21,1.15,0.07,0.13
19:00 - 20:00,1.62,0.67,1.96,0.67,0.67,0.0,0.07
20:00 - 21:00,0.81,0.47,0.81,1.08,0.81,0.07,0.07
21:00 - 22:00,0.4,0.54,0.88,0.54,0.81,0.0,0.2
22:00 - 23:00,0.13,0.81,0.47,0.2,0.2,0.0,0.07
23:00 - 00:00,0.34,0.74,0.27,0.54,0.2,0.0,0.07
