 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,0,0,0,0,0
01:00 - 02:00,0,0,1,0,1,0,0
02:00 - 03:00,4,4,6,0,1,1,0
03:00 - 04:00,18,22,22,11,18,0,0
04:00 - 05:00,36,21,35,66,27,0,0
05:00 - 06:00,53,44,23,27,17,0,0
06:00 - 07:00,35,21,21,18,17,0,0
07:00 - 08:00,76,49,98,34,46,0,0
08:00 - 09:00,64,47,58,59,32,0,0
09:00 - 10:00,67,95,35,45,13,1,0
10:00 - 11:00,29,19,32,28,10,1,0
11:00 - 12:00,11,8,12,36,3,1,0
12:00 - 13:00,6,6,2,5,10,0,0
13:00 - 14:00,1,0,6,1,11,3,0
14:00 - 15:00,7,6,6,1,0,0,0
15:00 - 16:00,2,0,3,2,4,0,0
16:00 - 17:00,1,5,3,5,3,0,1
17:00 - 18:00,5,2,2,7,3,0,0
18:00 - 19:00,3,3,6,5,1,0,0
19:00 - 20:00,1,3,7,2,1,0,1
20:00 - 21:00,2,0,7,0,3,0,1
21:00 - 22:00,3,2,2,5,1,0,2
22:00 - 23:00,1,1,0,2,0,0,0
23:00 - 00:00,1,0,0,0,0,0,4
