 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,10,25,36,18,16,17,5
01:00 - 02:00,14,42,30,23,27,10,6
02:00 - 03:00,23,40,28,43,29,7,4
03:00 - 04:00,30,28,49,40,48,2,2
04:00 - 05:00,12,15,20,37,14,3,1
05:00 - 06:00,81,27,35,32,27,32,3
06:00 - 07:00,92,68,47,62,37,4,2
07:00 - 08:00,206,135,87,97,80,4,4
08:00 - 09:00,172,151,155,127,126,5,8
09:00 - 10:00,133,166,181,166,105,9,7
10:00 - 11:00,152,168,151,175,80,12,8
11:00 - 12:00,115,202,128,164,81,61,9
12:00 - 13:00,172,198,159,205,143,60,14
13:00 - 14:00,219,178,198,225,207,33,9
14:00 - 15:00,166,191,179,228,164,9,40
15:00 - 16:00,208,165,160,136,137,30,11
16:00 - 17:00,160,99,122,123,168,4,10
17:00 - 18:00,138,96,122,121,161,26,5
18:00 - 19:00,116,92,59,88,127,48,2
19:00 - 20:00,90,62,97,67,136,70,5
20:00 - 21:00,67,58,86,92,124,12,0
21:00 - 22:00,43,86,65,60,36,5,5
22:00 - 23:00,59,62,27,63,34,3,3
23:00 - 00:00,46,50,43,36,15,5,2
