 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,1,2,0,0,0
01:00 - 02:00,1,1,1,1,0,1,0
02:00 - 03:00,0,0,4,1,0,7,0
03:00 - 04:00,2,0,2,5,1,2,0
04:00 - 05:00,6,3,5,4,3,0,0
05:00 - 06:00,3,1,0,8,5,3,0
06:00 - 07:00,3,9,6,7,2,5,2
07:00 - 08:00,5,5,1,2,2,0,2
08:00 - 09:00,6,4,3,6,11,2,2
09:00 - 10:00,6,5,3,3,3,0,1
10:00 - 11:00,4,6,4,6,6,1,1
11:00 - 12:00,4,5,4,5,2,1,0
12:00 - 13:00,3,4,4,2,2,0,0
13:00 - 14:00,3,10,1,3,3,0,0
14:00 - 15:00,1,4,3,5,2,0,0
15:00 - 16:00,6,1,2,1,0,0,0
16:00 - 17:00,0,4,0,0,3,0,0
17:00 - 18:00,2,5,0,2,0,0,1
18:00 - 19:00,1,1,0,2,0,0,0
19:00 - 20:00,0,2,0,0,0,0,1
20:00 - 21:00,0,1,0,0,1,1,0
21:00 - 22:00,1,1,2,0,3,1,0
22:00 - 23:00,0,0,0,1,1,0,1
23:00 - 00:00,4,1,2,0,0,0,0
