 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,4,9,5,5,3,3,1
01:00 - 02:00,0,5,6,8,6,3,0
02:00 - 03:00,4,3,5,7,2,1,0
03:00 - 04:00,12,12,11,5,7,1,1
04:00 - 05:00,27,29,27,17,32,0,1
05:00 - 06:00,22,30,18,25,30,4,2
06:00 - 07:00,46,34,34,23,41,1,2
07:00 - 08:00,38,39,37,37,21,1,0
08:00 - 09:00,71,38,35,33,53,0,1
09:00 - 10:00,82,65,56,43,65,1,9
10:00 - 11:00,66,79,77,57,71,0,22
11:00 - 12:00,83,45,47,54,39,1,3
12:00 - 13:00,35,42,69,51,43,0,5
13:00 - 14:00,53,41,49,40,40,1,6
14:00 - 15:00,42,38,43,55,29,1,3
15:00 - 16:00,28,55,62,61,36,1,6
16:00 - 17:00,31,34,35,57,33,0,7
17:00 - 18:00,23,35,27,35,32,0,0
18:00 - 19:00,13,19,16,18,15,2,1
19:00 - 20:00,16,13,22,10,3,0,11
20:00 - 21:00,10,22,11,9,3,1,8
21:00 - 22:00,18,6,8,15,1,2,3
22:00 - 23:00,10,8,7,13,4,3,2
23:00 - 00:00,10,8,11,12,4,1,0
