 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,6,1,0,1,1,5,2
01:00 - 02:00,1,1,0,0,2,2,2
02:00 - 03:00,1,1,3,0,0,1,0
03:00 - 04:00,0,0,0,1,0,0,0
04:00 - 05:00,0,2,0,0,1,1,1
05:00 - 06:00,0,0,0,0,1,0,1
06:00 - 07:00,0,1,0,0,1,45,1
07:00 - 08:00,0,1,0,0,1,5,0
08:00 - 09:00,1,0,0,1,0,3,1
09:00 - 10:00,0,0,0,1,0,2,0
10:00 - 11:00,0,0,0,1,0,0,0
11:00 - 12:00,0,1,0,0,1,1,0
12:00 - 13:00,2,2,3,0,2,0,2
13:00 - 14:00,1,0,3,6,1,1,0
14:00 - 15:00,6,4,3,2,1,1,0
15:00 - 16:00,2,3,1,7,3,2,3
16:00 - 17:00,1,0,4,0,0,9,1
17:00 - 18:00,1,1,1,1,2,2,2
18:00 - 19:00,0,3,0,2,0,0,3
19:00 - 20:00,4,1,2,0,3,0,0
20:00 - 21:00,3,1,0,3,2,1,1
21:00 - 22:00,4,2,4,2,0,0,2
22:00 - 23:00,4,0,3,5,1,0,1
23:00 - 00:00,1,0,2,2,1,2,0
