 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.3,0.6,0.42,0.84,0.24,0.12,0.12
01:00 - 02:00,0.12,0.36,0.36,0.3,0.42,0.12,0.24
02:00 - 03:00,0.3,0.3,0.3,0.18,0.12,0.24,0.0
03:00 - 04:00,0.06,0.18,0.06,0.06,0.18,0.06,0.0
04:00 - 05:00,0.06,0.36,0.06,0.0,0.24,0.12,0.06
05:00 - 06:00,0.36,0.42,0.18,0.3,0.54,0.06,0.18
06:00 - 07:00,0.42,0.42,0.36,0.36,0.66,0.12,0.18
07:00 - 08:00,0.36,0.72,0.66,0.66,0.48,0.06,0.0
08:00 - 09:00,1.02,1.37,0.96,0.72,1.08,0.12,0.12
09:00 - 10:00,0.96,1.2,1.49,1.43,1.43,0.0,0.24
10:00 - 11:00,0.84,1.32,1.26,0.96,1.32,0.42,0.18
11:00 - 12:00,0.9,0.9,0.96,1.43,1.43,0.18,0.54
12:00 - 13:00,1.37,0.96,1.08,1.55,1.26,0.6,0.78
13:00 - 14:00,2.81,1.26,1.91,1.79,1.02,0.78,0.48
14:00 - 15:00,1.08,1.67,1.61,0.96,1.49,0.3,0.24
15:00 - 16:00,0.96,0.96,1.43,0.9,0.96,0.12,0.48
16:00 - 17:00,0.72,0.6,1.14,1.26,1.02,0.12,0.54
17:00 - 18:00,0.96,0.96,0.72,1.08,0.54,0.12,0.48
18:00 - 19:00,0.54,1.08,0.84,0.9,0.48,0.18,0.36
19:00 - 20:00,0.42,0.66,0.54,0.9,0.42,0.36,0.42
20:00 - 21:00,0.72,0.84,0.66,0.6,0.3,0.12,0.3
21:00 - 22:00,0.42,0.72,0.42,0.48,0.36,0.12,0.54
22:00 - 23:00,0.54,0.42,0.3,0.24,0.36,0.06,0.48
23:00 - 00:00,0.3,0.36,0.36,0.6,0.12,0.12,0.42
