 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,2,0,3,3,1,2
01:00 - 02:00,0,2,1,2,2,1,0
02:00 - 03:00,2,4,4,1,1,0,2
03:00 - 04:00,0,0,0,1,1,1,1
04:00 - 05:00,1,1,1,1,1,1,0
05:00 - 06:00,1,0,1,1,1,0,0
06:00 - 07:00,3,2,3,1,0,3,0
07:00 - 08:00,2,0,3,1,3,1,0
08:00 - 09:00,0,4,1,2,0,2,3
09:00 - 10:00,5,0,1,1,0,0,1
10:00 - 11:00,4,3,5,0,0,2,0
11:00 - 12:00,1,3,3,1,1,3,0
12:00 - 13:00,2,1,2,1,2,2,0
13:00 - 14:00,4,2,4,2,2,5,2
14:00 - 15:00,1,2,4,1,2,0,1
15:00 - 16:00,2,3,2,1,1,1,1
16:00 - 17:00,1,3,4,3,1,2,0
17:00 - 18:00,1,4,2,3,5,2,0
18:00 - 19:00,3,2,4,2,4,3,0
19:00 - 20:00,6,2,3,1,1,1,1
20:00 - 21:00,9,5,2,4,0,1,1
21:00 - 22:00,4,3,3,2,0,0,1
22:00 - 23:00,3,2,1,1,2,0,1
23:00 - 00:00,3,1,0,1,3,1,1
