 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,8,6,7,1,3,3
01:00 - 02:00,3,5,6,7,5,2,2
02:00 - 03:00,5,10,8,5,6,7,1
03:00 - 04:00,9,9,6,6,8,1,2
04:00 - 05:00,4,3,3,1,1,1,3
05:00 - 06:00,6,11,7,5,5,3,4
06:00 - 07:00,6,8,8,8,7,2,1
07:00 - 08:00,9,15,8,8,7,6,3
08:00 - 09:00,10,13,12,12,9,5,2
09:00 - 10:00,10,11,11,17,7,3,3
10:00 - 11:00,12,12,13,16,9,2,3
11:00 - 12:00,10,7,9,6,5,2,3
12:00 - 13:00,9,13,13,10,10,6,3
13:00 - 14:00,4,4,12,12,9,2,4
14:00 - 15:00,14,16,15,7,10,2,4
15:00 - 16:00,14,18,19,10,11,12,2
16:00 - 17:00,8,9,11,6,14,2,5
17:00 - 18:00,4,7,9,9,10,0,1
18:00 - 19:00,4,7,4,10,6,5,3
19:00 - 20:00,3,9,1,6,6,4,8
20:00 - 21:00,12,8,5,9,7,4,3
21:00 - 22:00,4,6,8,3,8,3,3
22:00 - 23:00,6,10,5,5,2,1,2
23:00 - 00:00,5,4,8,3,2,3,3
