 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,10,11,4,6,12,9,3
01:00 - 02:00,3,8,7,17,9,8,3
02:00 - 03:00,4,9,9,11,3,8,9
03:00 - 04:00,8,12,11,2,6,3,5
04:00 - 05:00,8,5,9,16,12,4,6
05:00 - 06:00,7,12,3,8,6,8,15
06:00 - 07:00,6,4,8,14,12,6,4
07:00 - 08:00,4,9,11,32,23,8,13
08:00 - 09:00,9,11,7,20,10,12,9
09:00 - 10:00,7,15,9,16,8,12,11
10:00 - 11:00,7,13,12,20,11,8,10
11:00 - 12:00,2,13,4,23,19,8,7
12:00 - 13:00,17,15,17,23,4,6,11
13:00 - 14:00,18,14,12,16,25,16,4
14:00 - 15:00,15,38,21,18,20,6,13
15:00 - 16:00,19,12,17,11,10,13,11
16:00 - 17:00,27,9,13,23,17,6,6
17:00 - 18:00,8,12,13,21,15,4,7
18:00 - 19:00,12,8,18,9,15,9,4
19:00 - 20:00,16,12,16,11,7,21,9
20:00 - 21:00,8,12,7,6,7,4,10
21:00 - 22:00,20,13,8,7,4,6,4
22:00 - 23:00,8,22,15,5,14,6,10
23:00 - 00:00,15,15,13,16,16,4,4
