 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.6,0.3,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.6,0.6,0.0,0.6,0.0,0.0
07:00 - 08:00,0.6,0.0,0.9,0.0,1.79,0.3,0.0
08:00 - 09:00,2.99,1.49,1.49,2.09,2.39,0.0,0.6
09:00 - 10:00,0.9,1.49,2.09,5.67,1.49,0.3,0.6
10:00 - 11:00,9.55,0.9,0.9,0.6,5.67,0.3,0.9
11:00 - 12:00,1.49,0.0,2.09,0.6,0.6,0.6,0.0
12:00 - 13:00,0.9,0.3,0.3,2.09,1.79,0.3,1.19
13:00 - 14:00,0.9,0.0,0.0,0.3,0.3,0.0,0.3
14:00 - 15:00,0.0,0.9,1.49,0.9,0.6,0.0,0.3
15:00 - 16:00,0.6,2.39,0.9,3.58,0.0,0.0,0.6
16:00 - 17:00,0.3,0.3,0.3,0.3,0.3,0.3,0.0
17:00 - 18:00,0.9,0.0,0.0,1.79,0.0,0.6,0.9
18:00 - 19:00,0.0,0.3,0.3,0.3,0.3,0.3,0.6
19:00 - 20:00,0.3,0.0,0.6,0.3,0.3,0.3,2.39
20:00 - 21:00,1.19,0.0,0.9,0.0,0.3,0.0,0.3
21:00 - 22:00,0.6,0.3,0.0,0.3,0.0,0.0,0.9
22:00 - 23:00,1.19,0.3,0.3,0.6,0.9,1.49,2.39
23:00 - 00:00,0.3,0.3,0.0,0.0,0.0,0.0,0.3
