 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,3.59,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,1.8,0.0,0.0,0.0
06:00 - 07:00,1.2,0.6,0.0,0.0,0.6,0.0,0.0
07:00 - 08:00,1.2,1.2,1.2,0.6,0.0,0.0,0.0
08:00 - 09:00,0.6,1.2,0.6,0.6,0.0,0.0,0.0
09:00 - 10:00,0.6,1.2,0.6,3.59,5.39,0.0,0.0
10:00 - 11:00,2.4,2.4,1.2,0.6,0.0,0.0,0.0
11:00 - 12:00,1.2,1.8,0.0,2.4,1.2,0.0,0.0
12:00 - 13:00,0.6,2.99,2.99,0.6,0.6,0.6,1.2
13:00 - 14:00,2.4,2.4,0.6,2.4,1.8,0.0,1.2
14:00 - 15:00,1.8,4.19,2.4,0.0,0.0,0.0,0.6
15:00 - 16:00,0.6,0.6,0.6,0.6,1.2,0.6,0.6
16:00 - 17:00,1.2,0.0,0.6,0.6,4.79,0.6,0.0
17:00 - 18:00,0.6,0.6,0.6,1.8,0.6,0.0,0.0
18:00 - 19:00,0.0,0.6,0.0,0.6,0.0,0.0,0.6
19:00 - 20:00,2.4,0.0,0.6,0.0,0.0,0.0,1.2
20:00 - 21:00,0.6,0.6,0.6,0.0,0.6,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,1.8,0.6,0.0,0.6
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.6,0.0
23:00 - 00:00,0.0,1.8,0.6,0.0,0.0,0.0,0.0
