 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,1,0,0
01:00 - 02:00,0,2,2,0,3,4,1
02:00 - 03:00,0,6,0,1,0,0,3
03:00 - 04:00,3,1,1,1,0,2,3
04:00 - 05:00,0,0,0,1,1,1,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,1,0,1,0,0,0
07:00 - 08:00,0,0,0,0,0,0,0
08:00 - 09:00,0,0,0,0,0,0,0
09:00 - 10:00,1,0,0,0,0,0,0
10:00 - 11:00,1,0,0,0,0,0,1
11:00 - 12:00,1,1,1,0,0,1,1
12:00 - 13:00,0,1,0,5,1,3,0
13:00 - 14:00,1,1,0,0,0,0,3
14:00 - 15:00,4,2,4,0,0,2,2
15:00 - 16:00,0,1,1,0,0,0,1
16:00 - 17:00,0,5,0,2,2,1,1
17:00 - 18:00,0,6,1,0,2,0,3
18:00 - 19:00,0,5,0,0,0,1,2
19:00 - 20:00,0,0,0,0,3,1,1
20:00 - 21:00,0,1,1,0,0,3,1
21:00 - 22:00,1,0,1,0,0,3,0
22:00 - 23:00,1,0,0,0,1,1,0
23:00 - 00:00,0,0,0,0,0,0,1
