 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,36,31,36,27,40,27,26
01:00 - 02:00,27,32,36,50,39,33,31
02:00 - 03:00,39,53,74,67,55,25,33
03:00 - 04:00,66,68,83,58,72,31,29
04:00 - 05:00,57,83,79,86,94,33,34
05:00 - 06:00,64,86,76,87,80,29,30
06:00 - 07:00,84,69,81,73,75,32,25
07:00 - 08:00,65,79,91,100,74,30,34
08:00 - 09:00,81,112,95,106,106,37,30
09:00 - 10:00,133,131,90,110,129,48,35
10:00 - 11:00,101,123,108,102,124,36,48
11:00 - 12:00,71,87,83,102,87,33,66
12:00 - 13:00,94,77,80,86,80,38,49
13:00 - 14:00,82,79,78,76,75,35,34
14:00 - 15:00,100,74,72,85,77,38,40
15:00 - 16:00,94,85,94,93,97,42,42
16:00 - 17:00,85,87,85,71,78,49,44
17:00 - 18:00,62,55,82,88,74,38,54
18:00 - 19:00,46,49,61,63,48,35,43
19:00 - 20:00,41,54,39,58,50,25,20
20:00 - 21:00,48,37,39,37,31,16,34
21:00 - 22:00,29,52,38,35,31,28,30
22:00 - 23:00,35,36,37,30,23,25,25
23:00 - 00:00,27,32,30,49,20,21,25
