 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.31,1.08,1.18,0.86,1.01,1.49,0.21
01:00 - 02:00,0.3,0.7,0.73,0.74,0.72,1.27,0.17
02:00 - 03:00,0.4,0.68,0.58,0.77,0.52,0.48,0.19
03:00 - 04:00,0.5,0.67,0.56,0.63,0.64,0.44,0.19
04:00 - 05:00,0.36,0.82,0.78,0.7,0.59,0.48,0.28
05:00 - 06:00,0.33,0.79,0.78,0.72,0.65,0.38,0.2
06:00 - 07:00,0.34,0.63,0.59,0.62,0.6,0.31,0.21
07:00 - 08:00,0.28,0.39,0.54,0.53,0.36,0.23,0.12
08:00 - 09:00,0.33,0.3,0.36,0.37,0.24,0.19,0.11
09:00 - 10:00,0.33,0.39,0.23,0.35,0.21,0.12,0.16
10:00 - 11:00,0.23,0.3,0.32,0.34,0.24,0.09,0.12
11:00 - 12:00,0.13,0.22,0.18,0.26,0.17,0.1,0.11
12:00 - 13:00,0.24,0.24,0.28,0.19,0.23,0.15,0.11
13:00 - 14:00,0.33,0.33,0.35,0.27,0.35,0.17,0.2
14:00 - 15:00,0.34,0.56,0.49,0.36,0.32,0.21,0.27
15:00 - 16:00,0.62,0.62,0.71,0.59,0.44,0.27,0.23
16:00 - 17:00,0.88,1.15,0.87,0.84,0.89,0.23,0.2
17:00 - 18:00,1.06,1.1,1.19,1.16,1.31,0.34,0.14
18:00 - 19:00,1.07,1.18,1.47,1.18,1.18,0.27,0.17
19:00 - 20:00,1.66,1.19,1.3,1.01,1.22,0.25,0.22
20:00 - 21:00,1.03,1.28,1.4,0.95,1.04,0.35,0.24
21:00 - 22:00,1.38,1.41,1.34,1.14,1.11,0.29,0.59
22:00 - 23:00,1.19,1.34,1.52,1.45,1.43,0.33,0.39
23:00 - 00:00,1.03,1.26,1.5,1.15,1.12,0.22,0.17
