 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,10,15,12,12,8,0
01:00 - 02:00,1,19,19,3,6,7,1
02:00 - 03:00,3,9,7,4,4,7,3
03:00 - 04:00,3,3,0,2,0,1,0
04:00 - 05:00,8,3,4,0,2,1,0
05:00 - 06:00,1,1,3,1,1,0,2
06:00 - 07:00,2,4,3,1,1,2,4
07:00 - 08:00,2,2,5,1,4,1,6
08:00 - 09:00,0,1,0,0,4,0,3
09:00 - 10:00,0,0,1,0,0,1,0
10:00 - 11:00,1,0,0,0,1,0,0
11:00 - 12:00,0,1,0,0,1,0,0
12:00 - 13:00,1,0,2,1,0,0,0
13:00 - 14:00,0,0,1,0,1,0,0
14:00 - 15:00,1,0,0,1,2,1,0
15:00 - 16:00,3,0,1,1,12,0,0
16:00 - 17:00,3,0,4,4,6,5,1
17:00 - 18:00,3,7,8,12,9,0,2
18:00 - 19:00,13,9,8,15,10,1,0
19:00 - 20:00,14,7,8,9,4,1,4
20:00 - 21:00,7,10,5,17,6,0,1
21:00 - 22:00,15,16,15,12,16,0,1
22:00 - 23:00,13,16,5,11,15,2,1
23:00 - 00:00,22,18,10,15,22,2,1
