 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.06,0.49,0.25,0.25,0.31,0.31,0.06
01:00 - 02:00,0.0,0.25,0.43,0.25,0.49,0.12,0.06
02:00 - 03:00,0.49,0.25,0.43,0.12,0.19,0.31,0.12
03:00 - 04:00,0.12,0.19,0.06,0.31,0.19,0.31,0.37
04:00 - 05:00,0.12,0.12,0.25,0.06,0.0,0.12,0.0
05:00 - 06:00,0.25,0.25,0.12,0.12,0.19,0.19,0.25
06:00 - 07:00,0.25,0.12,0.49,0.19,0.62,0.0,0.0
07:00 - 08:00,0.25,0.62,0.68,0.49,0.25,0.12,0.0
08:00 - 09:00,1.23,0.74,1.36,0.62,0.93,0.0,0.19
09:00 - 10:00,0.86,0.62,1.73,0.99,0.74,0.31,0.25
10:00 - 11:00,0.62,1.3,1.17,0.8,0.74,0.49,0.43
11:00 - 12:00,1.23,1.3,1.17,1.23,1.17,0.19,0.06
12:00 - 13:00,1.11,0.74,1.05,0.62,1.05,0.31,0.12
13:00 - 14:00,0.99,1.3,1.6,1.85,1.17,0.19,0.31
14:00 - 15:00,1.11,1.36,1.85,1.3,0.8,0.31,0.37
15:00 - 16:00,1.23,1.36,0.99,1.73,0.74,0.12,0.56
16:00 - 17:00,1.48,1.11,1.48,1.3,0.93,0.8,0.43
17:00 - 18:00,1.11,1.17,1.17,0.86,0.86,0.31,0.37
18:00 - 19:00,0.93,1.05,1.11,1.11,1.17,0.25,0.49
19:00 - 20:00,0.56,0.99,1.17,1.23,0.86,0.12,0.12
20:00 - 21:00,0.99,1.17,0.8,0.99,0.62,0.19,0.19
21:00 - 22:00,0.49,0.56,0.68,0.8,0.43,0.12,0.49
22:00 - 23:00,0.31,0.99,0.49,0.74,0.31,0.19,0.25
23:00 - 00:00,0.31,0.19,0.43,0.43,0.37,0.31,0.0
