 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.82,0.91,0.82,0.82,0.99,1.23,0.58
01:00 - 02:00,0.99,0.99,0.99,0.41,0.58,1.07,0.08
02:00 - 03:00,0.74,0.66,0.58,0.41,0.41,0.66,0.08
03:00 - 04:00,0.25,0.41,0.33,0.82,0.16,0.08,0.16
04:00 - 05:00,0.16,0.82,0.99,0.25,0.33,0.25,0.41
05:00 - 06:00,0.08,0.91,0.91,0.33,0.33,0.58,0.08
06:00 - 07:00,0.16,0.49,0.41,0.74,0.82,0.0,0.33
07:00 - 08:00,0.82,0.74,0.66,0.49,0.16,0.33,0.33
08:00 - 09:00,0.49,0.66,0.58,1.48,0.16,0.58,0.33
09:00 - 10:00,0.74,0.49,0.41,1.23,0.82,0.08,0.0
10:00 - 11:00,0.33,0.25,0.74,0.41,0.25,0.0,0.0
11:00 - 12:00,0.41,0.25,0.49,0.49,0.25,0.0,0.08
12:00 - 13:00,0.25,0.41,0.58,0.82,0.66,0.0,0.0
13:00 - 14:00,0.74,0.49,0.99,0.33,0.82,0.08,0.08
14:00 - 15:00,0.49,0.91,0.74,0.99,1.07,0.41,0.08
15:00 - 16:00,0.66,0.82,0.91,1.15,0.82,0.08,0.08
16:00 - 17:00,0.58,0.33,1.07,1.07,0.25,0.58,0.08
17:00 - 18:00,1.07,0.74,0.66,0.99,0.82,0.16,0.0
18:00 - 19:00,1.07,0.82,1.48,1.23,1.4,0.0,0.0
19:00 - 20:00,0.82,0.74,0.82,0.82,2.14,0.25,0.08
20:00 - 21:00,0.41,1.32,0.66,1.15,0.33,0.16,0.0
21:00 - 22:00,0.66,0.25,0.66,0.82,0.82,0.41,0.49
22:00 - 23:00,0.82,0.41,0.91,2.06,2.39,0.08,1.07
23:00 - 00:00,0.41,1.56,0.66,0.82,1.89,0.08,1.15
