 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,12,23,25,13,9,4,3
01:00 - 02:00,16,14,11,15,9,4,1
02:00 - 03:00,25,27,14,24,10,5,2
03:00 - 04:00,18,19,24,25,27,2,1
04:00 - 05:00,22,29,21,27,13,1,1
05:00 - 06:00,21,24,17,15,19,0,1
06:00 - 07:00,12,21,8,19,8,2,1
07:00 - 08:00,20,28,11,15,9,4,2
08:00 - 09:00,15,25,18,17,23,4,4
09:00 - 10:00,18,20,16,29,15,3,2
10:00 - 11:00,10,20,14,20,17,1,2
11:00 - 12:00,20,14,25,12,23,1,7
12:00 - 13:00,6,15,13,7,13,1,2
13:00 - 14:00,12,8,9,6,11,0,4
14:00 - 15:00,11,8,13,11,9,0,4
15:00 - 16:00,2,10,11,11,9,5,4
16:00 - 17:00,5,12,14,12,7,2,5
17:00 - 18:00,10,20,12,8,8,1,9
18:00 - 19:00,8,7,6,15,8,5,7
19:00 - 20:00,12,14,7,17,8,0,12
20:00 - 21:00,13,17,4,15,4,9,14
21:00 - 22:00,18,18,25,12,6,2,15
22:00 - 23:00,5,10,11,11,7,7,9
23:00 - 00:00,15,18,19,8,3,1,12
