 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.62,1.2,1.3,0.68,0.47,0.21,0.16
01:00 - 02:00,0.83,0.73,0.57,0.78,0.47,0.21,0.05
02:00 - 03:00,1.3,1.4,0.73,1.25,0.52,0.26,0.1
03:00 - 04:00,0.94,0.99,1.25,1.3,1.4,0.1,0.05
04:00 - 05:00,1.14,1.51,1.09,1.4,0.68,0.05,0.05
05:00 - 06:00,1.09,1.25,0.88,0.78,0.99,0.0,0.05
06:00 - 07:00,0.62,1.09,0.42,0.99,0.42,0.1,0.05
07:00 - 08:00,1.04,1.46,0.57,0.78,0.47,0.21,0.1
08:00 - 09:00,0.78,1.3,0.94,0.88,1.2,0.21,0.21
09:00 - 10:00,0.94,1.04,0.83,1.51,0.78,0.16,0.1
10:00 - 11:00,0.52,1.04,0.73,1.04,0.88,0.05,0.1
11:00 - 12:00,1.04,0.73,1.3,0.62,1.2,0.05,0.36
12:00 - 13:00,0.31,0.78,0.68,0.36,0.68,0.05,0.1
13:00 - 14:00,0.62,0.42,0.47,0.31,0.57,0.0,0.21
14:00 - 15:00,0.57,0.42,0.68,0.57,0.47,0.0,0.21
15:00 - 16:00,0.1,0.52,0.57,0.57,0.47,0.26,0.21
16:00 - 17:00,0.26,0.62,0.73,0.62,0.36,0.1,0.26
17:00 - 18:00,0.52,1.04,0.62,0.42,0.42,0.05,0.47
18:00 - 19:00,0.42,0.36,0.31,0.78,0.42,0.26,0.36
19:00 - 20:00,0.62,0.73,0.36,0.88,0.42,0.0,0.62
20:00 - 21:00,0.68,0.88,0.21,0.78,0.21,0.47,0.73
21:00 - 22:00,0.94,0.94,1.3,0.62,0.31,0.1,0.78
22:00 - 23:00,0.26,0.52,0.57,0.57,0.36,0.36,0.47
23:00 - 00:00,0.78,0.94,0.99,0.42,0.16,0.05,0.62
