 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2.0,0.77,1.69,1.23,0.46,0.46,0.31
01:00 - 02:00,0.0,0.62,0.62,0.92,0.46,0.77,0.15
02:00 - 03:00,0.31,0.31,0.0,0.77,0.31,1.23,0.15
03:00 - 04:00,0.0,0.0,0.0,0.15,0.0,0.46,0.31
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.15,0.0,0.0,14.02,0.0,0.0,0.0
06:00 - 07:00,0.15,0.0,0.0,0.31,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.31,0.0,0.15,0.15,0.15,0.46,0.0
09:00 - 10:00,1.08,0.0,0.46,0.31,0.62,0.62,0.0
10:00 - 11:00,0.46,0.15,0.92,0.15,0.15,0.31,0.0
11:00 - 12:00,0.15,0.62,0.46,0.62,0.46,0.31,0.46
12:00 - 13:00,1.23,1.23,0.62,0.46,0.15,0.92,0.0
13:00 - 14:00,0.46,0.77,0.31,0.92,0.0,1.08,0.31
14:00 - 15:00,0.46,1.23,0.31,0.77,0.31,0.77,1.39
15:00 - 16:00,0.62,0.31,0.31,0.77,0.62,1.23,0.31
16:00 - 17:00,0.92,1.69,0.62,0.46,1.39,0.77,0.46
17:00 - 18:00,0.31,1.08,0.15,0.77,1.08,0.0,0.62
18:00 - 19:00,0.46,0.0,0.0,0.92,0.92,0.77,0.31
19:00 - 20:00,0.46,1.08,0.92,0.62,1.54,1.69,0.77
20:00 - 21:00,0.46,0.77,1.08,0.31,0.46,0.31,0.15
21:00 - 22:00,0.46,0.62,0.77,0.46,0.46,0.31,0.77
22:00 - 23:00,0.62,3.24,0.92,1.23,2.0,0.0,0.62
23:00 - 00:00,1.08,1.39,0.46,1.08,1.23,0.15,1.23
