 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.05,0.1,0.05,0.43,0.38,0.19,0.05
01:00 - 02:00,0.0,0.29,0.14,0.62,0.34,0.0,0.0
02:00 - 03:00,0.05,0.05,0.19,0.24,0.34,0.1,0.0
03:00 - 04:00,0.05,0.05,0.05,0.24,0.14,0.0,0.0
04:00 - 05:00,0.1,0.1,0.05,0.14,0.05,0.0,0.14
05:00 - 06:00,0.0,0.34,0.14,0.1,0.24,0.0,0.0
06:00 - 07:00,0.0,0.05,0.0,0.24,0.1,0.0,0.0
07:00 - 08:00,0.05,0.14,0.24,0.05,0.05,0.1,0.0
08:00 - 09:00,0.14,0.43,0.19,0.05,0.05,0.0,0.0
09:00 - 10:00,0.24,0.58,0.14,0.53,0.67,0.0,0.24
10:00 - 11:00,0.48,0.67,0.62,0.53,0.67,0.0,0.38
11:00 - 12:00,0.48,0.62,0.24,0.86,0.53,0.05,0.0
12:00 - 13:00,0.86,0.67,0.96,1.44,0.38,0.1,0.05
13:00 - 14:00,0.72,1.25,0.91,1.58,1.15,0.1,0.05
14:00 - 15:00,1.2,1.53,0.96,1.92,1.68,0.1,0.0
15:00 - 16:00,1.01,1.58,1.01,1.53,1.92,0.19,0.0
16:00 - 17:00,2.11,1.44,1.49,1.58,1.39,0.05,0.05
17:00 - 18:00,1.34,1.25,1.58,1.68,2.59,0.1,0.0
18:00 - 19:00,1.63,1.82,2.11,1.77,1.15,0.1,0.0
19:00 - 20:00,1.2,1.29,2.06,2.49,1.82,0.19,0.05
20:00 - 21:00,1.49,1.44,1.1,1.82,1.82,0.1,0.05
21:00 - 22:00,0.72,1.68,2.21,1.44,1.39,0.05,0.05
22:00 - 23:00,0.67,1.01,0.86,1.25,3.84,0.1,0.1
23:00 - 00:00,0.14,0.29,0.14,0.48,0.24,0.05,0.43
