 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.16,0.79,1.06,1.37,0.69,0.63,0.21
01:00 - 02:00,0.21,0.63,0.9,0.85,0.58,0.48,0.0
02:00 - 03:00,0.42,0.58,0.69,0.53,0.48,0.37,0.11
03:00 - 04:00,0.16,0.37,0.53,0.21,0.21,0.16,0.11
04:00 - 05:00,0.21,0.21,0.21,0.16,0.53,0.16,0.05
05:00 - 06:00,0.11,0.26,0.37,0.37,0.26,0.0,0.0
06:00 - 07:00,0.37,0.58,0.69,0.58,0.42,0.05,0.32
07:00 - 08:00,0.53,0.63,0.74,0.58,0.26,0.16,0.0
08:00 - 09:00,0.85,0.32,0.69,0.32,0.37,0.11,0.16
09:00 - 10:00,0.79,0.79,0.79,1.11,0.21,0.0,0.21
10:00 - 11:00,0.32,0.79,0.53,1.11,0.48,0.11,0.05
11:00 - 12:00,0.85,0.58,0.69,1.16,0.63,0.16,0.16
12:00 - 13:00,0.69,0.85,0.63,0.48,0.69,0.21,0.26
13:00 - 14:00,0.63,1.06,1.11,1.16,0.85,0.37,0.32
14:00 - 15:00,0.42,0.85,1.11,1.0,1.53,0.37,0.32
15:00 - 16:00,1.0,1.06,0.79,1.06,0.63,0.16,0.32
16:00 - 17:00,0.63,1.22,1.27,0.74,0.95,0.21,0.05
17:00 - 18:00,0.95,1.22,0.85,1.06,0.63,0.11,0.11
18:00 - 19:00,1.06,1.43,1.53,1.48,0.74,0.05,0.05
19:00 - 20:00,0.85,1.37,1.32,1.43,1.11,0.16,0.11
20:00 - 21:00,1.32,0.79,1.27,0.74,0.53,0.0,0.05
21:00 - 22:00,1.32,0.95,1.11,1.53,0.42,0.42,0.26
22:00 - 23:00,1.37,1.0,0.79,0.58,0.69,0.05,0.16
23:00 - 00:00,1.0,0.74,1.22,1.22,0.79,0.16,0.26
