 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,7,13,23,12,12,11,7
01:00 - 02:00,4,8,15,12,12,8,4
02:00 - 03:00,6,11,12,8,12,9,5
03:00 - 04:00,4,10,5,5,9,1,1
04:00 - 05:00,7,14,18,16,11,10,1
05:00 - 06:00,29,25,30,46,32,8,3
06:00 - 07:00,52,75,61,61,56,10,4
07:00 - 08:00,73,88,110,92,86,22,8
08:00 - 09:00,141,139,137,140,125,32,15
09:00 - 10:00,171,172,184,168,187,35,23
10:00 - 11:00,151,166,128,160,142,23,38
11:00 - 12:00,118,132,108,151,133,24,29
12:00 - 13:00,166,146,149,164,162,20,24
13:00 - 14:00,167,151,199,184,164,20,33
14:00 - 15:00,183,188,191,174,181,28,27
15:00 - 16:00,159,221,138,197,157,19,23
16:00 - 17:00,121,97,112,108,112,24,17
17:00 - 18:00,70,68,65,67,57,11,26
18:00 - 19:00,58,51,61,44,33,13,20
19:00 - 20:00,64,38,50,55,55,30,18
20:00 - 21:00,67,57,56,60,45,22,22
21:00 - 22:00,47,65,62,50,37,16,16
22:00 - 23:00,28,32,38,29,43,17,18
23:00 - 00:00,14,26,25,13,27,15,14
