 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,1,0,1,1,1,0
01:00 - 02:00,0,0,0,1,0,2,1
02:00 - 03:00,0,1,0,0,1,0,2
03:00 - 04:00,0,1,1,0,2,0,0
04:00 - 05:00,1,2,4,0,2,0,0
05:00 - 06:00,3,8,4,7,6,1,1
06:00 - 07:00,8,9,10,18,10,2,2
07:00 - 08:00,16,18,16,17,13,5,1
08:00 - 09:00,18,18,28,24,15,0,1
09:00 - 10:00,22,24,26,10,19,5,1
10:00 - 11:00,23,17,29,12,21,4,3
11:00 - 12:00,20,12,27,17,22,4,2
12:00 - 13:00,18,19,15,26,23,4,4
13:00 - 14:00,22,23,24,14,14,4,2
14:00 - 15:00,26,16,27,20,21,3,3
15:00 - 16:00,13,11,34,15,13,6,2
16:00 - 17:00,9,15,13,8,6,5,5
17:00 - 18:00,6,6,7,8,5,1,7
18:00 - 19:00,4,9,6,2,2,3,3
19:00 - 20:00,3,11,1,2,5,5,1
20:00 - 21:00,3,3,3,5,5,5,3
21:00 - 22:00,4,6,0,2,1,2,3
22:00 - 23:00,3,1,2,3,0,1,1
23:00 - 00:00,1,0,1,3,3,0,1
