 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.23,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.23
02:00 - 03:00,0.0,0.0,0.23,0.0,0.23,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.45,0.23,0.0,0.23
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.23
05:00 - 06:00,0.0,0.0,0.23,0.23,0.23,0.0,0.23
06:00 - 07:00,0.68,0.45,0.0,0.68,0.45,0.23,0.0
07:00 - 08:00,1.81,1.36,1.59,0.23,0.68,0.68,0.0
08:00 - 09:00,0.23,0.45,0.91,0.91,1.36,0.23,0.45
09:00 - 10:00,1.36,1.13,1.13,1.36,1.81,0.91,0.23
10:00 - 11:00,0.91,1.81,0.23,0.91,1.13,4.08,1.36
11:00 - 12:00,0.68,0.23,0.45,0.68,1.13,0.23,0.45
12:00 - 13:00,1.36,1.13,0.45,4.76,0.91,0.45,0.45
13:00 - 14:00,0.23,1.59,1.81,0.91,1.13,0.45,1.13
14:00 - 15:00,2.04,1.13,0.0,1.59,1.36,0.45,0.45
15:00 - 16:00,1.13,0.0,1.13,2.27,0.45,0.0,0.23
16:00 - 17:00,0.91,0.45,0.45,0.91,1.13,0.23,0.45
17:00 - 18:00,0.45,0.45,0.45,0.0,4.08,0.68,0.0
18:00 - 19:00,0.23,0.68,0.0,1.13,0.23,0.0,0.68
19:00 - 20:00,0.45,1.59,1.36,0.91,0.23,0.0,0.23
20:00 - 21:00,0.91,2.27,1.36,0.91,0.45,0.0,0.45
21:00 - 22:00,0.23,0.68,1.13,1.36,0.45,0.68,1.36
22:00 - 23:00,0.45,0.0,0.23,0.68,0.23,0.23,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
