 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,3,1,5,1,0,3
01:00 - 02:00,3,4,1,0,2,0,0
02:00 - 03:00,0,0,0,2,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,1,0,0
05:00 - 06:00,0,0,0,1,0,0,1
06:00 - 07:00,0,2,2,0,4,1,0
07:00 - 08:00,1,4,2,3,2,0,3
08:00 - 09:00,0,1,0,3,1,6,1
09:00 - 10:00,2,3,2,0,2,3,1
10:00 - 11:00,0,1,2,4,2,3,0
11:00 - 12:00,1,2,3,1,1,2,3
12:00 - 13:00,0,0,2,3,0,1,2
13:00 - 14:00,1,1,0,1,1,0,1
14:00 - 15:00,0,1,2,4,1,2,1
15:00 - 16:00,3,0,3,1,1,1,2
16:00 - 17:00,2,1,0,2,1,1,0
17:00 - 18:00,4,1,0,3,3,0,1
18:00 - 19:00,6,3,2,2,6,1,2
19:00 - 20:00,11,2,0,0,1,4,3
20:00 - 21:00,6,4,4,4,1,5,7
21:00 - 22:00,6,5,4,3,7,5,6
22:00 - 23:00,1,5,5,8,1,0,8
23:00 - 00:00,15,0,1,8,5,2,4
