 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,3,1,15,7,0,0,0
01:00 - 02:00,2,1,1,3,2,1,0
02:00 - 03:00,0,2,0,0,1,4,0
03:00 - 04:00,0,0,1,0,0,0,3
04:00 - 05:00,0,0,1,2,0,0,3
05:00 - 06:00,0,0,1,3,0,0,0
06:00 - 07:00,0,0,0,0,0,0,2
07:00 - 08:00,0,2,1,1,0,0,0
08:00 - 09:00,0,1,0,5,0,1,0
09:00 - 10:00,0,4,0,2,0,1,1
10:00 - 11:00,1,2,1,1,0,2,0
11:00 - 12:00,1,4,0,1,2,0,2
12:00 - 13:00,3,4,1,1,3,1,0
13:00 - 14:00,3,1,9,4,5,1,7
14:00 - 15:00,2,2,16,0,1,1,9
15:00 - 16:00,2,1,3,4,7,3,1
16:00 - 17:00,2,1,4,3,8,0,2
17:00 - 18:00,2,0,4,0,2,0,4
18:00 - 19:00,3,1,1,2,1,0,6
19:00 - 20:00,141,1,3,0,0,3,1
20:00 - 21:00,1,7,1,0,1,1,3
21:00 - 22:00,3,4,0,2,4,2,6
22:00 - 23:00,3,0,3,6,10,0,3
23:00 - 00:00,2,6,4,4,1,2,2
