 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.57,0.28,0.28,0.57,0.28,0.28,0.28
01:00 - 02:00,0.28,0.0,0.28,0.28,0.85,0.28,0.28
02:00 - 03:00,0.28,0.28,1.13,0.0,0.57,0.28,1.42
03:00 - 04:00,0.57,0.57,0.28,0.28,0.0,0.0,0.28
04:00 - 05:00,0.0,0.0,1.7,1.13,0.28,0.0,0.0
05:00 - 06:00,0.28,0.85,0.85,1.42,0.0,0.0,0.57
06:00 - 07:00,1.42,0.57,0.28,1.98,0.0,0.0,1.42
07:00 - 08:00,0.28,1.42,0.28,0.85,0.0,0.57,1.13
08:00 - 09:00,0.28,0.0,0.57,0.57,0.0,0.0,0.28
09:00 - 10:00,0.0,0.28,0.57,0.0,0.0,0.0,0.28
10:00 - 11:00,1.13,0.28,1.42,0.0,0.0,0.0,0.57
11:00 - 12:00,0.0,0.0,0.28,1.7,0.28,0.0,1.42
12:00 - 13:00,0.28,0.0,1.42,0.28,0.0,0.0,0.57
13:00 - 14:00,0.85,0.28,1.13,1.7,0.57,0.0,0.57
14:00 - 15:00,1.42,1.42,1.7,0.85,0.28,0.0,0.28
15:00 - 16:00,0.57,1.7,1.7,1.98,1.13,0.0,0.28
16:00 - 17:00,0.28,0.28,2.27,1.42,0.57,0.0,0.28
17:00 - 18:00,1.13,0.0,1.7,0.0,0.0,0.0,0.0
18:00 - 19:00,1.13,0.0,1.42,0.85,1.42,0.0,0.0
19:00 - 20:00,1.13,1.42,2.83,1.13,2.55,0.57,0.0
20:00 - 21:00,1.42,0.28,0.57,1.42,1.13,1.98,0.28
21:00 - 22:00,1.7,0.85,0.28,0.85,0.85,0.57,0.0
22:00 - 23:00,0.28,0.57,0.57,1.7,0.28,0.28,0.28
23:00 - 00:00,0.0,0.0,0.28,1.13,0.28,0.28,0.57
