 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.21,0.41,0.62,0.23,0.43,0.25,0.25
01:00 - 02:00,0.35,0.52,0.45,0.58,0.6,0.23,0.1
02:00 - 03:00,0.64,0.82,0.97,0.78,0.95,0.14,0.23
03:00 - 04:00,0.64,0.6,0.89,0.89,0.8,0.25,0.21
04:00 - 05:00,0.52,0.56,0.93,0.8,0.72,0.37,0.12
05:00 - 06:00,0.66,1.24,0.8,0.64,1.03,0.25,0.21
06:00 - 07:00,1.3,1.24,1.28,1.26,1.38,0.35,0.31
07:00 - 08:00,1.07,1.36,1.61,1.4,0.99,0.47,0.49
08:00 - 09:00,1.05,1.34,1.24,1.34,1.26,0.17,0.33
09:00 - 10:00,1.13,1.22,1.49,1.16,1.2,0.27,0.31
10:00 - 11:00,0.76,1.05,0.93,0.78,0.91,0.31,0.27
11:00 - 12:00,0.58,0.89,0.6,0.85,0.54,0.12,0.23
12:00 - 13:00,0.64,0.76,0.58,0.87,0.66,0.17,0.19
13:00 - 14:00,0.87,0.99,0.97,0.97,0.49,0.27,0.31
14:00 - 15:00,0.78,0.74,0.97,0.74,0.45,0.37,0.64
15:00 - 16:00,0.74,0.83,0.97,0.76,0.74,0.21,0.41
16:00 - 17:00,0.56,0.56,0.66,0.39,0.72,0.23,0.21
17:00 - 18:00,0.49,0.54,0.5,0.5,0.66,0.27,0.21
18:00 - 19:00,0.47,0.5,0.62,0.62,0.54,0.25,0.29
19:00 - 20:00,0.31,0.37,0.27,0.39,0.39,0.14,0.17
20:00 - 21:00,0.47,0.5,0.49,0.52,0.49,0.17,0.19
21:00 - 22:00,0.54,0.39,0.47,0.5,0.35,0.1,0.16
22:00 - 23:00,0.41,0.45,0.25,0.31,0.64,0.14,0.27
23:00 - 00:00,0.5,0.52,0.39,0.35,0.39,0.14,0.21
