 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1,1,1,3,0,0,1
01:00 - 02:00,1,8,1,2,3,0,1
02:00 - 03:00,1,1,3,1,0,0,1
03:00 - 04:00,0,2,2,3,2,0,0
04:00 - 05:00,3,2,2,2,1,0,1
05:00 - 06:00,1,0,0,2,0,1,0
06:00 - 07:00,2,3,4,2,1,0,0
07:00 - 08:00,2,2,5,2,1,0,0
08:00 - 09:00,2,2,2,3,2,0,0
09:00 - 10:00,0,2,0,1,5,0,1
10:00 - 11:00,2,4,4,5,4,1,0
11:00 - 12:00,1,2,6,5,2,1,1
12:00 - 13:00,6,5,8,5,3,0,0
13:00 - 14:00,7,9,12,10,9,3,0
14:00 - 15:00,12,9,10,11,6,1,1
15:00 - 16:00,10,10,4,3,6,0,1
16:00 - 17:00,7,4,6,9,6,1,1
17:00 - 18:00,7,3,9,4,2,1,1
18:00 - 19:00,6,5,7,3,4,0,0
19:00 - 20:00,4,2,6,4,2,1,0
20:00 - 21:00,6,5,11,5,4,0,2
21:00 - 22:00,0,2,1,2,6,0,1
22:00 - 23:00,1,0,2,0,1,1,2
23:00 - 00:00,1,0,1,1,1,0,0
