 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.45,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.45,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.45,4.48,0.0,0.0,0.0
06:00 - 07:00,1.79,2.24,0.0,0.0,0.0,0.0,0.45
07:00 - 08:00,0.45,0.9,0.0,2.69,0.0,0.0,0.0
08:00 - 09:00,1.35,2.24,2.24,0.0,0.0,0.0,1.79
09:00 - 10:00,0.0,3.59,1.35,0.0,0.45,0.0,4.04
10:00 - 11:00,3.14,0.0,0.9,0.45,0.0,0.0,1.35
11:00 - 12:00,1.35,1.35,0.0,2.69,0.0,0.0,1.79
12:00 - 13:00,0.45,4.93,1.35,2.69,0.0,0.0,0.9
13:00 - 14:00,0.45,3.59,0.9,4.48,0.0,0.0,1.35
14:00 - 15:00,0.45,0.9,0.9,1.35,0.0,0.0,1.35
15:00 - 16:00,0.45,0.9,0.0,1.35,0.45,0.0,4.04
16:00 - 17:00,0.45,0.9,1.79,1.35,0.0,0.0,0.9
17:00 - 18:00,0.45,1.35,6.28,0.45,0.0,0.0,0.45
18:00 - 19:00,0.0,0.0,0.0,0.0,0.0,0.45,3.14
19:00 - 20:00,0.0,0.0,0.0,1.79,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,1.79,0.0,0.0,0.45,0.0
22:00 - 23:00,0.0,0.45,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
