 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,1,0,0,0,0,0
01:00 - 02:00,0,0,0,0,1,0,0
02:00 - 03:00,0,1,0,0,0,0,0
03:00 - 04:00,0,0,0,2,0,0,0
04:00 - 05:00,0,0,0,7,0,0,2
05:00 - 06:00,1,2,2,0,1,0,0
06:00 - 07:00,0,9,2,1,1,0,5
07:00 - 08:00,2,18,1,1,0,0,4
08:00 - 09:00,5,16,5,4,1,0,8
09:00 - 10:00,10,21,21,8,1,0,33
10:00 - 11:00,11,12,3,6,0,0,5
11:00 - 12:00,7,30,10,21,0,0,20
12:00 - 13:00,15,23,7,9,2,0,5
13:00 - 14:00,11,10,4,31,2,0,9
14:00 - 15:00,18,12,12,9,0,0,11
15:00 - 16:00,28,10,12,14,1,0,7
16:00 - 17:00,2,9,30,6,0,0,7
17:00 - 18:00,9,13,21,5,0,1,7
18:00 - 19:00,2,1,3,3,0,0,10
19:00 - 20:00,1,1,0,2,0,0,5
20:00 - 21:00,0,0,2,1,0,0,1
21:00 - 22:00,1,0,0,1,1,0,0
22:00 - 23:00,0,9,0,0,0,0,1
23:00 - 00:00,1,0,0,0,0,0,0
