 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.59,0.59,0.4,0.2,0.0,0.0
01:00 - 02:00,0.59,0.4,0.99,0.99,0.2,0.0,0.0
02:00 - 03:00,0.59,0.0,0.2,0.2,0.0,0.0,0.0
03:00 - 04:00,0.0,0.2,0.2,0.2,0.0,0.0,0.0
04:00 - 05:00,0.4,0.79,0.2,0.2,0.59,0.0,0.2
05:00 - 06:00,0.2,0.59,0.59,0.59,0.59,0.0,0.0
06:00 - 07:00,1.39,0.2,0.99,0.59,0.79,0.0,0.0
07:00 - 08:00,0.79,0.2,1.19,0.99,0.4,0.0,0.0
08:00 - 09:00,0.0,0.79,0.99,1.19,0.2,0.0,0.0
09:00 - 10:00,1.78,0.99,1.78,0.59,0.99,0.0,0.2
10:00 - 11:00,0.4,0.99,1.19,1.58,0.79,0.0,0.0
11:00 - 12:00,0.99,0.59,0.99,2.18,0.0,0.0,0.0
12:00 - 13:00,1.39,0.59,0.79,1.39,1.39,0.0,0.2
13:00 - 14:00,2.38,0.79,1.39,1.58,0.79,0.0,0.0
14:00 - 15:00,2.18,1.39,1.98,1.58,1.58,0.0,0.0
15:00 - 16:00,1.39,1.39,1.39,1.19,1.98,0.0,0.2
16:00 - 17:00,1.39,1.39,1.19,1.58,0.59,0.0,0.0
17:00 - 18:00,0.79,0.59,0.99,0.79,0.59,0.0,0.0
18:00 - 19:00,0.4,1.19,0.59,1.39,0.99,0.0,0.0
19:00 - 20:00,0.59,0.99,0.99,1.39,0.59,0.0,0.2
20:00 - 21:00,0.99,1.19,1.98,0.99,0.99,0.0,0.0
21:00 - 22:00,0.59,0.4,0.4,0.2,0.2,0.0,0.0
22:00 - 23:00,0.79,0.2,1.19,0.0,0.59,0.0,0.2
23:00 - 00:00,0.79,0.59,0.79,0.0,0.4,0.0,0.2
