 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,7,4,0,5,2,0,0
01:00 - 02:00,7,5,7,3,14,0,0
02:00 - 03:00,6,7,8,16,4,0,0
03:00 - 04:00,5,5,5,4,7,0,0
04:00 - 05:00,11,3,2,5,4,2,1
05:00 - 06:00,5,2,2,5,3,0,0
06:00 - 07:00,1,7,5,4,5,0,0
07:00 - 08:00,1,4,6,12,2,0,0
08:00 - 09:00,1,5,6,3,2,0,0
09:00 - 10:00,2,11,4,4,1,0,0
10:00 - 11:00,0,7,2,2,3,0,0
11:00 - 12:00,2,5,2,2,2,0,0
12:00 - 13:00,0,1,0,0,1,0,0
13:00 - 14:00,0,1,0,0,0,0,0
14:00 - 15:00,0,1,0,1,0,0,0
15:00 - 16:00,2,4,1,4,0,0,0
16:00 - 17:00,3,3,0,6,0,0,0
17:00 - 18:00,9,5,6,6,0,0,4
18:00 - 19:00,8,8,7,11,0,0,9
19:00 - 20:00,4,13,7,5,0,0,6
20:00 - 21:00,7,5,4,4,0,0,12
21:00 - 22:00,4,9,2,27,0,0,1
22:00 - 23:00,3,12,5,31,0,0,6
23:00 - 00:00,1,3,3,14,0,0,10
