 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,1.34,2.03,1.9,0.53,1.24,0.0,0.0
01:00 - 02:00,0.92,1.92,0.98,0.47,1.29,0.0,0.0
02:00 - 03:00,1.34,1.32,0.87,12.73,0.4,0.0,0.0
03:00 - 04:00,0.4,0.55,0.66,1.92,0.37,0.0,0.0
04:00 - 05:00,0.24,0.26,0.53,0.58,0.82,0.0,0.76
05:00 - 06:00,0.47,0.61,0.32,0.08,0.32,0.0,0.32
06:00 - 07:00,0.18,2.11,1.03,0.37,0.34,0.0,0.4
07:00 - 08:00,0.32,1.4,0.84,0.84,0.98,0.0,0.05
08:00 - 09:00,0.53,0.53,0.34,0.26,0.4,0.0,0.0
09:00 - 10:00,0.26,1.98,0.34,0.45,0.71,0.0,0.03
10:00 - 11:00,0.42,1.63,0.26,0.58,0.11,0.0,0.0
11:00 - 12:00,0.13,0.03,0.03,0.05,0.08,0.0,0.0
12:00 - 13:00,0.08,0.0,0.03,0.03,0.08,0.0,0.0
13:00 - 14:00,0.71,0.0,0.0,0.03,0.0,0.0,0.0
14:00 - 15:00,2.24,0.0,0.03,0.0,0.24,0.0,0.0
15:00 - 16:00,0.0,0.11,0.03,0.05,0.05,0.0,0.0
16:00 - 17:00,0.16,0.45,0.24,0.21,0.05,0.0,0.24
17:00 - 18:00,0.82,1.27,0.37,0.16,0.0,0.0,0.61
18:00 - 19:00,1.4,2.48,0.58,0.66,0.0,0.03,1.19
19:00 - 20:00,1.11,1.16,1.45,0.32,0.0,0.0,1.21
20:00 - 21:00,1.77,1.05,1.05,0.87,0.0,0.0,1.13
21:00 - 22:00,0.95,1.27,1.24,0.76,0.03,0.0,0.9
22:00 - 23:00,1.53,0.92,0.87,0.87,0.0,0.0,1.16
23:00 - 00:00,2.19,1.77,0.9,0.66,0.0,0.0,1.82
