 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,3,3,0,2,2,1,0
01:00 - 02:00,2,2,1,1,1,0,0
02:00 - 03:00,2,2,7,2,0,0,0
03:00 - 04:00,2,7,2,2,6,0,1
04:00 - 05:00,5,4,7,7,1,0,0
05:00 - 06:00,3,8,3,3,4,0,0
06:00 - 07:00,8,3,2,6,3,0,0
07:00 - 08:00,4,3,1,5,6,0,0
08:00 - 09:00,5,4,2,4,8,1,2
09:00 - 10:00,1,4,4,3,3,0,0
10:00 - 11:00,4,9,3,2,3,0,0
11:00 - 12:00,1,1,0,2,0,1,0
12:00 - 13:00,0,1,1,1,2,0,0
13:00 - 14:00,0,1,0,0,1,0,0
14:00 - 15:00,1,0,2,1,2,0,1
15:00 - 16:00,0,0,2,1,0,1,0
16:00 - 17:00,2,0,2,1,2,0,1
17:00 - 18:00,1,0,0,0,2,0,0
18:00 - 19:00,1,1,2,0,0,0,0
19:00 - 20:00,0,1,0,0,0,0,0
20:00 - 21:00,0,1,0,0,0,0,1
21:00 - 22:00,1,1,0,0,1,0,1
22:00 - 23:00,1,0,0,0,0,0,0
23:00 - 00:00,0,0,0,3,0,0,0
