 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2.31,1.62,0.93,1.39,0.23,0.0,0.23
01:00 - 02:00,0.93,1.62,0.93,1.16,0.0,0.0,0.0
02:00 - 03:00,0.46,0.93,0.23,0.0,0.0,0.0,0.0
03:00 - 04:00,0.46,0.23,0.46,0.0,0.69,0.0,0.46
04:00 - 05:00,0.23,0.46,0.46,0.0,0.0,0.0,0.46
05:00 - 06:00,0.0,1.39,0.69,0.23,0.0,0.0,0.0
06:00 - 07:00,0.0,0.23,0.23,0.23,0.0,0.23,0.0
07:00 - 08:00,0.0,0.69,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.93,0.23,0.46,0.46,0.0,0.0,0.0
09:00 - 10:00,0.46,0.0,0.0,0.0,0.23,0.0,0.0
10:00 - 11:00,0.0,0.0,0.93,0.93,0.69,0.0,0.0
11:00 - 12:00,0.69,0.46,0.93,0.93,0.0,0.0,0.0
12:00 - 13:00,0.23,0.0,0.0,0.0,0.23,0.0,0.0
13:00 - 14:00,0.93,0.23,0.23,0.0,0.0,0.0,0.0
14:00 - 15:00,1.85,0.23,0.93,0.93,0.23,0.0,0.69
15:00 - 16:00,0.93,0.46,0.46,0.93,0.69,0.0,0.46
16:00 - 17:00,0.93,1.39,0.69,1.62,0.0,0.0,0.69
17:00 - 18:00,0.69,0.46,1.85,0.23,0.46,0.0,0.93
18:00 - 19:00,0.69,1.16,1.62,0.46,0.0,0.0,0.93
19:00 - 20:00,9.49,0.93,0.69,0.46,0.0,0.0,0.69
20:00 - 21:00,1.62,1.16,1.16,1.62,0.0,0.0,0.93
21:00 - 22:00,2.78,1.85,2.55,1.16,0.23,0.0,0.93
22:00 - 23:00,1.85,1.39,1.85,0.69,0.0,0.0,0.93
23:00 - 00:00,6.25,1.16,1.16,0.93,0.0,0.0,0.93
